language_code,time,language_name,company,pricetag,longitude,random_number,country,hostname,timezone,date_time
lg,07:41:00,Lingala,Michel PLC,$10.73,149.934199,468,Namibia,lt-64.baur.com,Africa/Bangui,1986-03-18 00:57:47
id,02:24:40,Yiddish,Walter LLC,$2.67,117.973254,811864776,Costa Rica,web-90.weber-huber.info,Europe/Minsk,2008-07-03 14:14:31
hy,00:02:16,Guarani,"Zimmermann, Hafner and Ernst",$1.84,71.818297,2306585,CÃ´te d'Ivoire,web-80.bader-blum.com,Indian/Maldives,1984-11-27 02:00:17
pa,20:36:47,Danish,Winkler-Roos,"$22,226.64",-147.447109,955169643,United States,db-60.gloor.com,Africa/Lome,1986-03-19 03:35:26
ms,06:11:44,Fijian,Studer-Steiger,$996.74,-56.556978,61029,Canada,lt-65.vogt.com,Asia/Katmandu,1998-03-19 06:40:34
nn,18:15:17,Abkhazian,Scheidegger PLC,"$16,865.88",97.820036,63273839,Azerbaijan,laptop-30.brunner.info,Asia/Phnom_Penh,1998-12-15 22:30:02
wa,03:54:55,Afar,Ferrari-Schaub,$30.80,-5.858535,9,Maldives,web-70.sidler.net,Europe/Andorra,2016-04-17 01:11:47
cy,03:59:36,"Sotho, Southern",Meyer-Beck,$0.35,147.233537,901,Kyrgyzstan,laptop-29.wenger-bucher.com,Asia/Bangkok,1988-05-02 02:53:49
mr,04:59:16,Gujarati,Schärer-Kaufmann,$16.94,24.866027,925354,Libya,email-75.frick.info,Africa/Nouakchott,1971-05-10 14:46:55
ja,06:49:25,Tonga,Stettler-Zehnder,$1.39,22.280131,6542823,Saint Kitts and Nevis,web-75.martin.com,Europe/Riga,1995-12-03 13:05:36
ber,21:19:07,Quechua,Zbinden-Fankhauser,$874.99,98.848944,71,Mauritania,email-12.gloor.biz,Africa/Bissau,2005-04-16 15:10:19
ht,03:21:59,Macedonian,Bühlmann and Sons,$83.48,69.610202,41195379,Jamaica,laptop-14.gfeller.com,Africa/Asmera,1986-01-23 04:44:22
be,19:48:47,Bengali,Senn-Hofer,$35.36,-88.588504,2,Cambodia,web-81.steffen.com,Europe/Vienna,2017-12-12 07:19:11
shs,13:10:11,Bulgarian,"Knecht, Peter and Herzog",$3.05,23.115139,76300,Benin,desktop-79.wettstein.com,Africa/Khartoum,1988-10-16 06:26:08
ia,00:53:55,Arabic,Bättig Group,$9.15,-87.973182,8,Norway,email-44.schoch.com,America/Montevideo,2023-05-19 10:11:48
ia,23:41:21,Japanese,Roos Group,$0.62,145.571652,7968,North Korea,lt-92.kagi-wuthrich.com,America/Port_of_Spain,2011-08-04 18:30:06
de,05:44:34,Indonesian,Roos-Lüscher,$6.84,18.341873,6625,Canada,desktop-80.lustenberger.com,Europe/Riga,1996-08-18 21:00:48
yue,02:00:13,Navajo,Stettler-Studer,"$8,534.40",-140.212549,67,Switzerland,laptop-26.erni.net,Africa/Algiers,2011-06-21 11:46:18
se,16:50:52,Malagasy,Felber-Schärer,$7.99,-22.204114,15,Spain,laptop-61.zbinden.com,Pacific/Apia,2006-07-01 21:07:57
yi,05:33:13,Korean,"Zehnder, Maurer and Hodel",$43.60,121.532876,411,Togo,lt-46.jaggi.com,Europe/San_Marino,1971-05-22 15:47:34
cs,19:17:15,Aragonese,Bernasconi Ltd,$5.98,143.302970,8292,Niger,srv-85.frey.com,Asia/Amman,2009-06-12 13:23:41
tr,23:55:01,Pali,Stettler Inc,$1.41,43.870912,184,El Salvador,srv-58.scharer.com,America/Guatemala,1995-09-21 21:55:40
km,08:26:36,Zulu,Jäggi Ltd,"$9,454.34",-148.241582,666,Democratic Republic of the Congo,desktop-74.rey.com,Asia/Tbilisi,2010-03-24 23:42:57
tt,00:01:55,Aymara,Steffen Inc,"$2,080.47",-104.445321,147,North Macedonia,laptop-40.schenk-meili.net,Asia/Hebron,1994-05-21 04:12:10
br,15:05:34,Interlingua,Stauffer-Peter,$253.44,171.016976,5442545,Afghanistan,db-38.fischer.com,Asia/Amman,1978-04-06 00:18:44
or,09:23:38,Twi,Suter-Hirt,"$4,723.80",78.934163,19,Bahamas,email-01.michel-hoffmann.com,Africa/Bissau,2010-02-02 01:52:41
tcy,06:50:21,Catalan,Hirt PLC,$559.91,3.308459,840,Solomon Islands,desktop-47.kaufmann.net,America/Antigua,2007-11-04 02:48:37
tcy,14:27:24,Ukrainian,Maier PLC,$75.59,81.730838,266533,Libya,desktop-06.zimmermann.com,America/Nassau,1971-07-29 11:46:08
xh,16:48:51,Avaric,Zollinger PLC,$53.42,125.410213,4437,Saint Kitts and Nevis,srv-21.fehr.info,Asia/Bishkek,1972-02-07 16:19:49
lij,08:04:45,Cornish,Kern-Burri,$328.68,43.997091,48064700,Denmark,laptop-29.seiler.com,America/St_Kitts,1982-01-07 18:35:54
uk,17:19:25,Esperanto,Bucher Group,$10.85,-101.548957,57776,Vietnam,desktop-17.kaiser.biz,Asia/Bangkok,1983-12-24 08:29:27
it,09:43:27,Catalan,Baumgartner Ltd,"$66,229.59",-93.723263,165339688,Brazil,email-39.seiler-portmann.net,Asia/Seoul,2009-07-11 02:06:16
mag,12:20:15,Kannada,Meister Group,$477.55,69.357762,1,Antigua and Barbuda,lt-99.schwarz.com,Africa/Tunis,2021-03-02 07:08:23
bem,20:47:58,Igbo,Frei and Sons,$0.66,-68.192165,8164,Lebanon,web-14.schaller-buhlmann.com,Asia/Saigon,1997-01-12 11:27:29
hsb,23:09:15,Slovak,Graf-Wehrli,"$48,929.59",29.874572,95222,Turkey,web-45.stalder-portmann.info,Asia/Shanghai,1987-07-03 03:41:46
apn,01:12:23,Nauru,Isler Group,$1.48,178.563970,960917148,North Korea,db-19.kern-hofstetter.com,America/Lima,2005-05-15 09:40:09
ks,15:15:04,Greek,Maurer PLC,$24.84,157.110597,84947315,Uganda,web-19.steinmann.com,Pacific/Fiji,2009-07-01 14:26:38
mr,22:03:42,Lao,Eugster Ltd,$349.72,-7.340052,32,Armenia,laptop-00.stucki.com,Europe/London,2007-07-21 10:26:13
so,14:16:28,Sundanese,Ammann LLC,$66.86,-93.267685,9,Kazakhstan,db-74.hartmann.org,America/Port_of_Spain,2014-03-04 07:48:00
ta,14:13:25,Portuguese,Tobler Group,$508.25,-77.327199,33390,Croatia,db-45.geiger-stauffer.com,Africa/Mbabane,1974-04-27 04:24:45
crh,21:39:34,Kuanyama,Hirt-Favre,"$4,590.41",-139.936664,373985615,Rwanda,lt-43.winkler.com,America/Costa_Rica,2015-11-17 13:03:52
mt,01:49:18,Georgian,Rey-Lanz,$571.16,73.160446,199304540,Mongolia,lt-14.steiger-schwab.biz,Europe/Warsaw,1987-03-17 11:22:49
tr,10:24:23,Fulah,"Keller, Staub and Portmann",$669.00,120.552910,4,Hungary,web-00.ziegler-schaub.biz,Europe/Tirane,2006-08-08 07:01:24
tr,12:04:21,Sardinian,Wehrli-Schumacher,$799.73,102.086360,841,Philippines,db-44.meier.com,Asia/Dili,2005-09-18 00:27:06
