timezone,latitude,pricetag,company,date_time,language_code,date,longitude,iso8601,file_name,mac_address,random_number,hostname,country,bank_country,time,language_name
Asia/Hebron,-60.3375035,"35,75 €",Grein Groth AG,2008-06-16 07:08:18,ts,2008-03-15,150.410015,1992-03-01T08:02:20,Affe.avi,55:79:19:56:d4:e2,3528353,srv-21.weinhold.com,Amerikanisch-Ozeanien,DE,11:16:17,Latin
Europe/Istanbul,-50.993301,"8.983,91 €",Stoll Renner GmbH,1995-08-02 03:06:02,hu,1982-11-02,-15.659959,2001-01-08T13:11:30,Abend.avi,d9:cb:4c:80:46:42,7599584,email-47.ullrich.com,Papua-Neuguinea,DE,00:09:05,Akan
Asia/Dhaka,-22.4401275,"59,66 €",Holzapfel AG & Co. OHG,1972-09-17 23:54:00,mn,1990-05-05,20.891589,1998-04-17T20:51:34,vielleicht.css,8b:41:b4:2f:2d:73,789603017,email-07.doerschner.com,Mauretanien,DE,12:17:40,Basque
America/Argentina/Ushuaia,32.1482615,"68.105,69 €",Gertz Staude GmbH & Co. KGaA,2012-06-03 16:47:37,he,1973-06-28,124.563094,2003-07-20T01:04:26,lassen.jpeg,a6:61:90:80:c1:74,13705247,web-97.bolzmann.com,Demokratische Volksrepublik Korea,DE,06:51:30,Gujarati
Africa/Libreville,37.631133,"785,89 €",Heidrich GmbH & Co. KG,1996-07-02 13:14:50,nan,2011-05-02,-90.851168,1979-01-09T05:20:06,besser.tiff,14:53:44:45:20:de,62571,lt-66.adler.com,St. Lucia,DE,05:56:57,Lao
Europe/London,-35.508735,"869,74 €",Martin Sölzer e.V.,1988-07-28 03:48:04,sr,2004-02-01,176.326884,1970-01-08T15:37:57,Onkel.wav,5d:d5:54:b1:69:6c,154,db-01.karge.com,Samoa,DE,11:42:29,Ido
Australia/Lindeman,-35.985279,"48.829,77 €",Fritsch GmbH & Co. KG,2020-01-19 01:59:30,ce,1991-10-13,126.041379,2010-05-06T04:13:22,möglich.wav,1c:31:6e:51:87:96,7,laptop-80.jockel.de,Usbekistan,DE,04:07:46,Sanskrit
Asia/Nicosia,68.156833,"4.126,52 €",Dehmel KG,2004-07-30 12:02:19,es,1999-01-30,-3.200227,1976-03-04T04:50:39,ohne.wav,39:91:bd:6e:a0:18,9894423,db-05.paffrath.de,Thailand,DE,09:28:30,Yoruba
Africa/Johannesburg,-21.8045195,"203,06 €",Drub,2000-04-13 02:06:00,ce,2021-08-05,-133.775974,1989-08-16T07:10:45,gehören.xlsx,2c:55:57:4a:f6:41,4841093,laptop-67.jopich.com,Indien,DE,21:06:57,Malagasy
Asia/Jerusalem,-18.512600,"3,15 €",Hauffer Henck AG & Co. OHG,1998-04-03 00:58:31,or,1980-08-27,110.504504,2000-08-17T15:10:39,steigen.json,b6:c2:c8:eb:64:16,46165,laptop-37.mentzel.de,Antigua und Barbuda,DE,15:56:30,Guarani
Asia/Colombo,69.662540,"9.142,38 €",Jähn,1985-05-14 07:36:25,ht,1997-03-21,85.880452,1987-03-24T10:48:15,Affe.mp3,67:59:c7:e4:b4:9b,60,srv-94.knappe.org,Nigeria,DE,08:00:32,Persian
Africa/Sao_Tome,-40.8207645,"98,19 €",Warmer,2009-11-20 14:20:44,pap,1971-01-08,66.765831,1972-08-02T13:58:56,weiß.mp3,f3:3e:fd:ca:48:1d,5,email-67.rohleder.com,Malta,DE,10:53:53,Estonian
America/Costa_Rica,4.272885,"8.504,99 €",Stiebitz,1991-09-25 23:03:04,nan,1975-06-18,-116.811928,2015-08-18T23:14:34,treffen.pptx,bc:4a:f3:54:03:68,96847585,lt-09.suessebier.com,Salomonen,DE,13:32:28,Tonga
Africa/Nairobi,8.844796,"36,90 €",Hornich Stiftung & Co. KG,2002-10-05 00:25:58,bhb,1995-12-09,-143.143006,1982-09-08T06:34:30,Maus.odt,0b:a3:82:be:41:f7,65,laptop-82.junken.com,Mauretanien,DE,10:50:46,Azerbaijani
Africa/Nouakchott,-50.791863,"1.694,14 €",Lübs Huhn GmbH,1981-03-19 16:48:53,ss,2022-10-30,-6.105347,1991-01-12T13:06:46,weinen.wav,83:e6:cd:3f:65:72,267,srv-25.jacob.com,Anguilla,DE,00:33:17,Marshallese
America/Indiana/Marengo,-39.806073,"94,28 €",Ullmann,1988-08-20 09:40:32,lij,2020-10-19,-0.482586,2016-02-02T15:10:41,Stadt.pptx,0d:d7:7f:3a:e0:fb,6019423,srv-04.koehler.com,Kanada,DE,21:53:31,Javanese
America/El_Salvador,-82.862633,"86.087,19 €",Dowerg,1997-10-12 13:30:36,lij,1981-03-28,91.578344,2006-12-08T00:37:38,klein.csv,0b:07:ae:ed:45:33,0,laptop-53.davids.com,Armenien,DE,02:34:12,Ojibwa
Asia/Beirut,15.474030,"23.901,93 €",Dehmel Karz AG,1971-12-06 19:38:44,mag,1977-02-22,-83.112756,1997-02-06T00:05:12,Geld.json,e9:64:ab:39:8b:ae,1684535,db-29.roskoth.com,Bolivien,DE,03:03:42,Kikuyu
Asia/Calcutta,42.324817,"81,58 €",Tintzmann Drubin AG,2011-07-14 19:46:42,fil,2004-02-23,-10.085494,1970-05-15T07:28:30,Meer.flac,f3:a8:fd:d0:f8:9d,620765,lt-77.heydrich.com,Kokosinseln,DE,07:46:03,Malayalam
America/Denver,64.0753135,"4,54 €",Trub,1978-10-17 08:50:44,ta,2017-08-02,69.640968,2005-10-27T20:39:27,Zug.css,7d:66:fb:8b:3c:3f,94981736,laptop-50.trueb.de,Saudi-Arabien,DE,00:47:01,Uzbek
Atlantic/Cape_Verde,1.684118,"3.049,53 €",Austermühle,1980-09-13 00:24:01,dv,1986-10-21,-42.683392,1990-06-24T05:49:36,lieb.mp3,74:86:45:7e:01:c4,49015539,email-56.wohlgemut.org,Guadeloupe,DE,09:06:14,Ganda
America/Lima,32.729763,"4,18 €",Schüler Rädel GmbH & Co. KG,1999-06-15 06:31:47,mt,2011-10-23,98.365676,1978-07-12T02:37:06,zu.js,1c:86:35:47:ae:c2,25,desktop-03.maelzer.net,Vereinigte Staaten,DE,19:30:07,Lao
Asia/Manila,-23.415910,"85,24 €",Junken,2015-08-23 10:55:33,ps,1997-11-11,145.947470,1994-06-30T07:51:13,kein.csv,25:77:bd:ef:1f:f0,91,lt-61.van.net,Demokratische Volksrepublik Korea,DE,04:01:39,Pali
Indian/Mahe,26.9844945,"58.843,29 €",Sontag Beckmann AG,2021-06-28 02:10:12,lij,2012-03-09,41.985070,2009-10-01T13:45:55,braun.wav,cf:8d:cb:24:14:1d,407,lt-25.auch.com,Palau,DE,19:23:11,"Sotho, Southern"
America/Dominica,-74.496370,"7,39 €",Hethur Röhrdanz KGaA,1975-06-17 08:54:24,bg,2004-08-15,-149.111649,1979-09-23T07:30:49,Stadt.webm,4a:7a:08:9f:5d:29,553255,srv-24.dietz.com,Somalia,DE,20:00:45,Sanskrit
Europe/Helsinki,-24.1558705,"139,46 €",Trub Werner GmbH & Co. KGaA,2001-08-08 23:48:10,zh,2016-08-13,-95.000025,1997-03-14T15:03:24,packen.tiff,7f:8a:d0:e4:89:0a,7731193,laptop-94.beier.de,Weihnachtsinsel,DE,14:52:24,Burmese
Europe/Sarajevo,-70.511917,"24,96 €",Eigenwillig AG,1984-04-23 09:13:57,ko,2008-02-28,100.299524,1996-04-20T00:09:10,Straße.csv,1e:c8:21:8d:38:18,8080938,srv-26.girschner.de,Mongolei,DE,18:11:51,Tswana
Pacific/Tongatapu,-20.088850,"841,49 €",Wähner,2007-01-04 09:49:19,or,1974-01-12,-80.801652,2022-07-02T16:30:25,unten.csv,d8:f5:7a:bd:2d:93,9755732,lt-00.lange.de,Guernsey,DE,07:02:07,Tigrinya
Asia/Nicosia,-76.827166,"76,04 €",Ritter,1972-08-22 10:58:49,th,1977-09-02,62.627414,1970-03-19T13:41:13,daran.bmp,b0:85:88:ec:7c:bb,5,srv-41.oestrovsky.org,Uganda,DE,11:57:53,Tonga
Africa/Lagos,84.8893225,"40,03 €",Klingelhöfer Sölzer KG,1998-02-18 23:29:47,am,1992-10-08,-160.350578,1998-06-05T18:04:02,rennen.tiff,70:63:4a:61:61:b2,0,desktop-04.hertrampf.de,Kap Verde,DE,10:42:51,Urdu
Europe/London,35.8849375,"2.301,46 €",Staude,2018-12-10 08:35:05,fil,2002-02-04,127.669210,1973-01-28T03:32:24,Spiel.avi,ec:62:37:c4:a3:b9,341287,email-20.lindau.com,Nauru,DE,13:37:16,Chamorro
Europe/Vienna,33.710474,"3,34 €",Scholl,1988-07-25 07:33:49,kn,1994-09-23,-64.799721,1981-12-26T16:19:10,fressen.txt,5c:72:ed:7c:a9:a8,103674,desktop-04.beier.de,Vereinigtes Königreich,DE,11:18:21,Ojibwa
Africa/Ceuta,63.5345025,"4,92 €",Säuberlich KG,1980-10-08 20:38:30,wa,1978-08-27,-87.021005,2019-02-13T05:48:35,Luft.odp,5b:75:d3:25:96:19,3280197,web-64.stumpf.com,Irak,DE,16:54:40,Cornish
America/Montevideo,21.7206965,"56.733,85 €",Weimer,2014-09-15 11:36:11,shs,1994-05-05,49.164541,2010-09-10T20:41:15,gesund.pdf,31:85:e3:33:07:d1,6,srv-66.roerricht.com,Trinidad und Tobago,DE,16:17:12,Breton
Africa/Tripoli,26.5399795,"1.108,95 €",Stadelmann KG,1970-11-12 07:04:00,pa,1980-12-10,112.714997,2004-03-23T03:32:41,lustig.bmp,e7:20:17:a5:c6:ef,59980238,laptop-21.radisch.com,Bahamas,DE,22:52:02,Serbian
Pacific/Ponape,-53.675605,"10,42 €",Mies Henck GmbH,2001-03-31 21:02:27,ku,1991-02-11,-91.465615,2013-01-26T22:30:41,sitzen.ppt,db:20:cc:de:6b:90,636305359,db-08.stoll.com,Ukraine,DE,16:03:12,Inuktitut
Africa/Bujumbura,34.6960315,"1.678,68 €",Löwer,2010-11-14 07:11:37,gd,2017-12-27,129.823072,2000-06-03T09:23:31,Schuh.html,fe:1c:5d:87:3a:22,72,desktop-28.wiek.com,Trinidad und Tobago,DE,12:12:08,Catalan
America/Rankin_Inlet,82.3844355,"42,49 €",Ritter Keudel GmbH,2016-05-02 09:26:56,fr,2000-10-14,-100.662578,1985-11-13T07:57:47,Mann.key,f0:c1:4f:63:86:35,1076870,laptop-59.hoevel.de,Belarus,DE,14:58:11,Slovenian
Asia/Tashkent,71.4522995,"45,35 €",Koch Nerger Stiftung & Co. KGaA,2003-12-10 15:40:00,tig,1981-11-16,145.610149,1974-02-28T09:47:02,nicht.mp3,e7:39:7f:6e:e6:6c,41,web-50.doering.org,Französisch-Guayana,DE,16:17:50,Romanian
Asia/Rangoon,-8.795856,"86,42 €",Steckel Lehmann GmbH,2015-07-25 20:58:28,mai,2018-05-16,74.725117,2002-11-17T13:00:51,nach.numbers,ec:d7:03:81:ae:d2,72029162,srv-30.etzler.de,Burundi,DE,02:08:46,Chechen
Africa/Mbabane,-24.4552105,"11.447,92 €",Girschner GmbH & Co. KGaA,1972-05-23 20:43:41,as,1989-02-05,-110.847194,1982-12-08T17:57:11,als.png,ae:fd:15:1c:34:f7,123,web-37.zaenker.com,Italien,DE,00:08:45,Maori
Africa/Monrovia,-39.3944825,"98,58 €",Kostolzin,1978-08-17 20:24:05,kl,2001-07-30,-33.608407,1987-09-02T10:22:22,ohne.doc,15:fb:56:1b:59:23,13,laptop-54.muelichen.com,Slowenien,DE,20:43:28,Guarani
Africa/Lusaka,86.5666825,"5.194,38 €",Hentschel,1994-06-05 23:44:38,yue,2008-06-16,-169.661327,2016-03-08T20:28:29,zwei.png,96:a6:4d:22:86:d5,32040,desktop-36.troest.com,Guatemala,DE,15:17:10,Norwegian Nynorsk
Asia/Saigon,-86.658800,"5.096,00 €",Graf,1974-04-15 14:21:32,ht,1992-07-02,46.268287,1985-05-12T10:23:44,später.avi,91:84:1a:8b:86:24,340,laptop-05.ullrich.com,Angola,DE,06:00:24,Bashkir
America/Lima,16.913256,"21,59 €",Naser Hermighausen AG & Co. KG,1986-05-24 15:56:14,ve,1982-11-06,101.789890,2017-04-02T07:53:37,Küche.ppt,94:70:8a:15:e2:19,94,email-15.geisel.net,Serbien,DE,14:18:56,Occitan
Africa/Monrovia,-53.4563475,"69.038,07 €",Roskoth Stiftung & Co. KGaA,2004-12-03 03:57:49,hr,1997-10-09,81.256781,1993-12-03T00:16:53,Leben.mov,17:c2:b6:1e:c2:ec,3950307,srv-56.scholl.de,Kap Verde,DE,22:43:20,Akan
Europe/Sofia,-75.091577,"74.643,80 €",Briemer Wieloch e.V.,1978-06-18 14:44:15,bem,1982-08-22,38.941018,2003-12-24T22:47:33,Geburtstag.mp4,bb:5b:c0:9a:0c:9c,442,web-81.hoerle.de,Ghana,DE,04:58:02,Gaelic
Africa/Algiers,-55.941766,"2,89 €",Eigenwillig,1970-03-09 23:34:46,ff,1988-08-14,-27.700649,1984-02-22T19:52:48,Loch.docx,96:63:b1:d2:a6:25,787448,email-14.knappe.net,Jordanien,DE,09:31:28,French
Pacific/Funafuti,-0.4520755,"21,00 €",Mitschke Steinberg GmbH,1997-06-08 15:35:54,dv,1992-02-15,-151.072898,1970-05-16T07:19:43,Wald.jpg,cd:6d:fb:d7:9f:87,518172021,db-61.harloff.com,Libyen,DE,19:40:38,Swati
America/Tijuana,56.294212,"8,93 €",Girschner GmbH & Co. KG,2014-03-08 22:55:55,it,1995-12-31,158.362692,1974-10-25T13:20:34,aus.csv,f9:5f:53:88:d5:20,33888,lt-13.ehlert.com,Saudi-Arabien,DE,17:02:37,Amharic
Indian/Maldives,34.8880305,"8,35 €",Wagner,2001-01-05 10:05:41,lg,1999-12-22,82.962655,1975-09-20T08:50:33,sechs.pages,ea:71:0f:75:d2:f2,556079,web-60.bachmann.com,Sambia,DE,00:47:30,Thai
Asia/Taipei,54.835647,"134,21 €",Dobes,2022-07-13 10:55:20,ro,2004-05-09,111.078771,1990-06-15T08:46:51,Tür.js,89:ee:24:ae:74:55,3187520,db-98.junken.com,Bahrain,DE,23:03:46,Urdu
Pacific/Easter,8.5439645,"82,64 €",Dörr Nette GmbH & Co. KGaA,2002-11-09 09:09:58,bo,2002-08-20,-113.235998,1995-09-07T04:33:58,Maus.pages,79:b8:42:85:df:c3,628,srv-53.mueller.de,Simbabwe,DE,09:39:26,Xhosa
Indian/Antananarivo,77.532356,"376,00 €",Plath Stiftung & Co. KG,2003-06-01 15:31:25,ne,2018-05-11,-80.922210,2008-12-22T18:31:32,bringen.mp4,dc:6f:82:e8:fd:2f,163092,desktop-70.baerer.com,Gibraltar,DE,01:07:36,Church Slavic
Africa/Accra,63.1970875,"32.404,30 €",Ruppert,1975-08-16 05:37:44,ar,1998-08-11,-164.326826,1981-08-24T17:35:47,seit.gif,30:21:8b:6e:88:df,629798,laptop-88.heintze.de,Aserbaidschan,DE,06:56:57,Ewe
Asia/Bangkok,-50.7017675,"72,52 €",Gunpf,1970-01-31 12:14:12,ms,2003-11-02,171.754211,2016-05-15T08:25:52,Land.mp3,c3:89:44:b6:7e:2a,15497,laptop-13.fischer.com,Dschibuti,DE,03:55:54,Bengali
Europe/Helsinki,57.702388,"47,58 €",Eimer Gertz AG & Co. OHG,2007-06-08 05:45:40,sat,1977-03-08,-18.141816,2016-02-24T02:24:59,scheinen.jpeg,9d:65:22:dc:75:da,1,laptop-76.zimmer.com,Bahrain,DE,19:40:11,Northern Sami
Europe/Zagreb,-66.786762,"7,67 €",Mosemann GbR,1983-07-29 12:15:42,os,1970-10-11,-19.277905,1974-04-19T00:38:32,vorbei.key,81:b5:19:57:f7:72,724067,web-26.graf.org,Papua-Neuguinea,DE,11:56:00,Herero
Africa/Dar_es_Salaam,52.5386025,"55,04 €",Hartung Pechel AG & Co. KGaA,2002-07-14 00:42:38,iu,1986-04-18,-42.664018,1991-01-23T03:08:27,Wiese.mov,02:44:6f:56:b9:16,2,lt-89.zobel.org,Tschad,DE,23:38:00,Yiddish
Africa/Harare,-44.243136,"8.253,82 €",Lübs GmbH,2001-10-18 07:03:51,bhb,2001-03-26,-5.764668,1992-12-08T07:22:36,schlimm.avi,0c:89:5b:de:48:f3,127674,db-19.jessel.com,Mexiko,DE,08:46:44,Herero
Pacific/Ponape,6.253662,"28.969,13 €",Hesse,1973-04-11 15:21:43,rw,1990-02-01,-10.984637,1980-04-06T12:01:03,Wagen.key,e8:f6:af:aa:61:99,932,email-07.mies.net,Neuseeland,DE,02:58:46,Aymara
America/La_Paz,7.054429,"5.386,14 €",Bruder GmbH & Co. KG,1986-07-28 13:56:17,ml,2006-02-28,-106.516124,1986-05-18T03:02:44,ihn.tiff,9f:64:a8:ea:ff:43,6144198,email-48.trueb.com,China,DE,21:42:45,Gaelic
Africa/Freetown,31.162096,"335,90 €",Wiek,1989-12-15 16:00:38,hak,2009-03-14,-8.552822,1997-04-26T14:51:21,schaffen.doc,84:57:7b:59:ae:06,70379286,web-46.loos.de,Madagaskar,DE,20:08:30,Church Slavic
Europe/Stockholm,-26.3994545,"337,01 €",Herrmann KG,2002-02-14 13:49:25,nn,1999-03-21,176.167699,2007-05-09T17:44:44,Bein.png,7d:0a:6a:08:16:63,79,lt-03.freudenberger.com,Sonderverwaltungszone Hongkong,DE,23:00:53,Tagalog
Africa/Blantyre,-4.3593135,"8,23 €",Kobelt Lachmann Stiftung & Co. KGaA,1994-11-02 10:38:14,tg,2015-08-03,-71.862446,2006-05-09T04:51:39,voll.odp,0f:49:a1:3a:78:5e,93,db-41.ruppert.com,Neukaledonien,DE,19:14:43,Samoan
Africa/Freetown,88.0197425,"32.123,03 €",Misicher Mohaupt GmbH & Co. OHG,1979-07-16 17:17:09,pt,2021-06-04,82.108009,2001-02-21T02:13:19,dauern.pptx,63:2c:9c:a7:72:4c,6567375,laptop-07.groettner.com,Svalbard und Jan Mayen,DE,21:33:22,Tigrinya
Asia/Kamchatka,44.0136145,"48,01 €",Heidrich Stiftung & Co. KG,2009-01-17 09:35:32,bn,2018-08-22,146.814619,2016-11-02T01:21:40,antworten.ods,e0:af:fa:6d:a4:3c,6,web-04.loos.com,Serbien,DE,06:06:39,Swati
Asia/Phnom_Penh,59.1490505,"3.560,07 €",Heidrich,1991-02-20 04:10:45,oc,2016-01-31,-62.046299,2006-06-28T17:19:15,sicher.mp4,fb:33:34:6a:6a:fe,81670,lt-56.kuehnert.de,Estland,DE,08:38:57,Dzongkha
Pacific/Tongatapu,-76.172837,"78,53 €",Eimer,1970-10-07 08:05:40,kk,1991-03-09,-57.291938,1986-01-30T17:01:16,Wissen.js,c7:b2:e9:55:e0:d9,3,laptop-59.weitzel.de,Zentralafrikanische Republik,DE,02:26:23,Lao
Asia/Saigon,-53.839882,"6,65 €",Neuschäfer AG,2008-04-28 18:33:46,sv,2002-01-02,-79.334670,2018-08-07T06:44:50,las.numbers,51:3e:e7:e4:00:61,5024,desktop-02.junken.de,Mikronesien,DE,19:05:28,Irish
America/Argentina/Jujuy,58.961974,"38.221,20 €",Striebitz,1974-05-29 16:15:44,wa,1996-12-03,-12.678919,1997-11-18T09:04:31,kalt.mp4,50:f2:fa:9d:ee:67,16762899,laptop-89.gotthard.de,Turkmenistan,DE,23:42:52,Norwegian
Pacific/Palau,-24.706348,"7.902,36 €",Dobes Röhricht AG,1991-08-13 18:30:28,pa,1971-06-24,-157.727927,1993-02-02T01:40:54,Stück.xlsx,43:a4:d4:ca:39:af,3,db-59.schweitzer.de,Kolumbien,DE,20:26:27,Tamil
Asia/Baghdad,20.778573,"2,57 €",Schüler AG,2011-08-15 03:34:42,ar,1981-06-08,38.167803,1997-07-16T14:33:05,Frau.mp3,55:76:80:60:8c:76,391230,db-47.hoffmann.com,Réunion,DE,12:18:27,Tajik
Europe/Sofia,-81.0483175,"70,62 €",Lorch Albers AG,2000-09-03 12:30:04,nso,1970-03-01,-175.230218,1994-08-26T13:24:22,am.mp3,fb:8f:e1:5f:7f:c8,3879,laptop-46.tschentscher.de,Dominikanische Republik,DE,14:29:33,Chamorro
Asia/Singapore,-2.7324795,"6,32 €",Herrmann,1979-07-19 03:33:00,aa,1982-04-10,40.812588,2015-08-15T17:50:31,Stelle.png,52:37:da:c2:56:f4,96820869,db-02.soeding.com,Brunei Darussalam,DE,09:35:04,Malay
Africa/Maputo,73.077286,"496,77 €",Heinrich,1979-06-09 03:07:35,mt,2022-05-09,-91.636242,1995-07-19T11:34:27,gegen.css,19:71:a8:c9:2a:1b,19,laptop-07.briemer.de,Tonga,DE,15:51:08,Dzongkha
Asia/Tokyo,-16.1042855,"75.383,52 €",Klemt GmbH & Co. KGaA,1995-10-23 02:38:24,os,2020-11-10,151.724756,1996-01-31T00:47:59,Geburtstag.xls,6d:3f:d0:7b:fe:09,2651,email-68.rogner.com,Singapur,DE,15:44:39,Kirghiz
America/Indiana/Knox,-0.451894,"226,30 €",Adolph,1971-11-29 19:41:23,mn,1994-01-06,171.314818,2000-03-21T13:26:20,etwas.key,a8:1f:41:70:50:b3,997304,email-66.rohleder.de,Liechtenstein,DE,13:27:24,Ido
Asia/Beirut,-63.501955,"4,03 €",Eberhardt,2011-10-13 08:32:14,sat,1991-05-23,-2.331623,2013-02-26T13:42:16,denken.png,dd:1e:34:10:ef:9e,74424,web-78.ortmann.com,Grönland,DE,13:24:42,Korean
America/Bogota,-73.517487,"6,52 €",Wagner,1977-03-23 05:52:42,wal,2012-11-28,-140.003467,1978-08-01T11:43:48,ihn.flac,24:ab:02:72:c0:cf,96109,lt-00.gehringer.de,Äußeres Ozeanien,DE,18:32:39,Bambara
America/Lima,-59.8771185,"2,32 €",Meister AG,2021-04-10 17:46:44,it,1987-11-07,-161.104816,2008-12-06T05:50:48,plötzlich.mp4,64:52:e6:59:68:dc,8252348,web-65.bolzmann.org,Serbien,DE,03:29:13,Latvian
Africa/Kampala,-56.365740,"8.625,29 €",Ackermann,2010-06-16 08:17:04,el,2016-11-13,-151.151465,2018-07-15T19:20:45,hat.key,a7:20:15:69:60:05,103180206,web-30.holsten.com,Palau,DE,21:15:02,Tibetan
Africa/Lusaka,4.513212,"45,69 €",Döhn GbR,2008-08-16 05:35:56,xh,2021-04-24,20.497048,1970-12-17T03:53:27,dich.json,a2:f7:bf:32:1d:0f,6500390,web-39.roht.com,Belgien,DE,22:42:42,Sundanese
Asia/Bishkek,-67.6979585,"3,03 €",Kusch AG,2023-03-19 01:19:55,gv,1971-08-25,127.758311,1997-02-23T16:27:49,Glück.mp3,8a:da:29:ab:56:48,45810713,email-30.waehner.de,Mexiko,DE,20:47:32,Oriya
Europe/Brussels,4.7027195,"476,05 €",Jacobi Jäckel GmbH,1995-11-22 08:50:44,nds,2004-08-23,177.036211,2023-07-05T23:37:59,gewinnen.txt,44:e9:69:e6:68:14,5051377,laptop-60.paertzelt.de,Turkmenistan,DE,08:17:56,Akan
Asia/Kuwait,58.130504,"82,02 €",Bolzmann Blümel KG,1994-02-05 10:00:11,de,1986-05-30,-9.268390,2005-11-19T19:30:34,heraus.html,53:4c:bd:a3:f6:e4,57630,lt-30.drubin.com,Burundi,DE,23:45:06,Bambara
Pacific/Guadalcanal,73.7962165,"3.732,70 €",Schleich Wirth Stiftung & Co. KGaA,1992-07-14 08:46:36,si,1976-10-15,21.580147,1975-01-18T05:23:09,wollen.wav,e1:1d:ab:61:9c:30,758,srv-10.haenel.net,Schweiz,DE,00:57:21,Kalaallisut
Pacific/Funafuti,70.5227445,"91,85 €",Cichorius Vogt AG & Co. OHG,2011-03-14 01:09:46,oc,1982-08-18,-129.262080,1980-09-15T23:03:34,schreiben.wav,8d:ac:b0:85:bb:27,255,email-40.patberg.de,Paraguay,DE,16:02:35,Sanskrit
Africa/Kinshasa,66.1432005,"95.303,94 €",Zänker GmbH,1977-09-06 23:17:18,lij,2006-12-21,24.856606,2022-06-22T23:00:57,haben.js,0f:1a:01:05:6d:c4,916,db-53.weinhold.de,São Tomé und Príncipe,DE,17:14:48,Kikuyu
Asia/Muscat,34.351429,"88.781,47 €",Riehl Stroh GmbH & Co. KG,2007-02-13 04:40:38,sc,1979-08-13,65.982195,2003-05-03T08:52:37,hoch.odt,ff:79:3e:1e:95:45,4878,desktop-98.salz.de,Französisch-Guayana,DE,21:54:20,Marshallese
Atlantic/Azores,-21.588348,"91.232,87 €",Heinz,2018-03-12 01:21:50,tt,1974-03-26,-32.935074,2002-09-29T23:31:38,Tante.pdf,23:a4:77:f0:5b:66,1,email-63.sager.de,Wallis und Futuna,DE,12:37:19,Marshallese
Africa/Johannesburg,65.0877625,"6.043,09 €",Hoffmann Weitzel AG & Co. KG,1985-11-10 18:41:54,cs,1986-09-12,115.177415,1996-09-20T21:39:17,wahr.avi,52:a6:48:94:a5:d4,689657,laptop-57.stroh.de,Andorra,DE,00:10:44,Tamil
Europe/Budapest,-9.0179325,"878,02 €",Trüb,1972-12-11 00:26:24,da,1991-04-18,-129.300810,1995-10-19T15:01:23,war.csv,9a:a1:d7:55:3c:5e,70819,web-67.bohlander.com,Isle of Man,DE,21:36:26,Sinhala
Pacific/Galapagos,-17.9943985,"7,50 €",Schmidt,1992-11-21 11:43:49,szl,2012-11-15,67.361582,1982-02-25T23:17:32,wo.html,2e:96:ea:1d:16:c7,1572666,desktop-66.hahn.de,Tansania,DE,05:42:22,Ojibwa
Asia/Jerusalem,52.4766705,"88.170,86 €",Barkholz,1980-11-14 00:35:39,bs,2011-10-19,-1.277094,1992-03-25T23:14:48,Seite.numbers,17:32:09:b1:77:22,16788,srv-24.foerster.org,Isle of Man,DE,05:18:27,Luxembourgish
America/Tijuana,-6.158693,"861,48 €",Austermühle AG,2003-05-24 21:29:42,bho,1993-04-07,155.869938,2018-12-24T11:11:01,Wasser.html,bf:46:63:c5:f0:64,9,lt-35.schwital.de,Neuseeland,DE,13:00:39,Kashmiri
Europe/Riga,-42.6278255,"22.292,31 €",Klotz KG,1976-06-24 17:13:54,br,1976-06-06,21.882901,2004-03-27T12:07:31,nimmt.bmp,cc:97:22:37:54:12,405,laptop-16.hande.com,Chile,DE,00:43:06,Tatar
Asia/Hebron,14.9845435,"114,01 €",Bähr Kohl GmbH,2014-07-15 08:33:14,ckb,1994-03-09,141.660714,2017-06-09T10:03:24,nie.js,80:65:8e:db:68:27,10,web-95.zaenker.de,Ruanda,DE,03:33:41,Tigrinya
Africa/Accra,-40.989757,"38,21 €",Killer,1981-02-15 01:36:29,pap,2013-06-13,114.841713,2009-11-16T20:37:27,schnell.txt,c7:03:a4:af:27:f0,450,email-50.holzapfel.net,Mayotte,DE,12:04:40,Serbian
Africa/Libreville,16.822421,"4,68 €",Heser Stiftung & Co. KG,1996-09-26 05:08:06,ro,1978-01-16,68.747089,1992-11-14T21:39:48,schlagen.flac,2f:17:76:c0:69:da,13280,desktop-41.stahr.com,Falklandinseln,DE,21:27:28,Yoruba
Africa/Bangui,67.3887035,"71.283,45 €",Hübel GbR,2015-01-29 08:44:03,sk,2022-04-20,-57.256249,2006-05-25T12:36:45,zeigen.jpg,7d:11:44:7e:7b:80,83141250,srv-20.wieloch.com,Portugal,DE,14:19:32,Sardinian
Europe/Kiev,55.5536185,"5.987,22 €",Wulff OHG mbH,1970-02-23 02:57:44,fil,2019-03-09,-47.285433,1989-11-09T02:40:25,arbeiten.webm,30:31:d5:08:21:fb,10000,email-52.froehlich.net,Sierra Leone,DE,22:11:23,Turkmen
Africa/Nouakchott,-0.286976,"88,72 €",Rosenow,2003-08-09 10:28:47,ia,1987-04-02,45.543290,1977-08-25T15:02:21,wollen.xlsx,6b:a3:8d:0b:60:c5,3326828,db-32.zorbach.com,Ägypten,DE,00:12:05,Navajo
Africa/Addis_Ababa,-27.8197025,"75,38 €",Mentzel,1971-02-22 09:16:11,mk,2020-12-06,34.507909,1972-07-29T11:00:13,genau.avi,c9:33:39:84:74:d3,108773,laptop-01.bloch.de,Republik Korea,DE,13:59:34,Rundi
