language_name,file_name,longitude,hostname,iso8601,country,latitude,timezone,date_time,bank_country,company,pricetag,city,language_code,random_number
Esperanto,tot.jpeg,96.940925,web-18.renner.net,2018-03-16T19:53:51,Réunion,-81.402015,Asia/Ashgabat,1972-11-25 22:52:14,DE,Beer,"888,55 €",Eberswalde,nds,800
Gujarati,plötzlich.xlsx,-1.381729,laptop-63.aumann.de,2011-08-29T05:01:16,Aserbaidschan,39.300020,America/La_Paz,1971-01-22 18:29:18,DE,Eimer AG & Co. OHG,"3.711,72 €",Eisleben,th,9742
Igbo,ihn.doc,146.913431,desktop-95.bohlander.net,2001-06-21T04:09:53,Burundi,-84.563085,Africa/Asmera,2022-02-11 11:30:21,DE,Söding,"4.413,18 €",Lüdenscheid,sid,204859
Tamil,nun.flac,-88.262109,email-13.heser.de,2018-04-27T20:33:17,Mikronesien,-21.8386995,Asia/Bishkek,1971-10-28 08:16:51,DE,Mühle,"8.279,77 €",Höxter,kn,44
Avestan,an.html,119.476149,web-29.zorbach.net,1975-11-18T10:58:33,Liberia,-82.1367755,Africa/Niamey,1972-10-23 15:49:59,DE,Reising,"77.630,49 €",Mainburg,ca,967
Panjabi,wollen.doc,-66.284934,web-10.jopich.de,1975-03-05T11:28:04,Isle of Man,22.9377945,Africa/Lusaka,1996-05-31 04:56:35,DE,Becker,"4,32 €",Stade,wo,42
Swedish,tragen.csv,-15.939276,db-45.benthin.org,2004-06-29T21:04:04,Republik Moldau,39.2579255,Europe/San_Marino,1974-05-27 23:22:13,DE,Kranz,"57,15 €",Mellrichstadt,tn,487
Vietnamese,Mann.json,56.192862,email-67.kranz.com,1984-10-15T04:41:12,Wallis und Futuna,77.3620055,Africa/Niamey,2015-10-19 09:19:49,DE,Sorgatz AG & Co. KGaA,"66,31 €",Uffenheim,the,133852302
Welsh,um.json,-45.185937,lt-67.paffrath.net,2022-11-24T16:14:34,Äußeres Ozeanien,37.989496,Africa/Nouakchott,1973-05-24 20:05:13,DE,Mans Holt KG,"971,27 €",Worbis,ve,3
Tibetan,ich.js,171.697520,web-59.zaenker.net,1973-01-14T13:34:28,Vietnam,6.525755,Europe/Prague,1992-04-18 14:47:13,DE,Mangold,"10.634,80 €",Jena,lt,1
Sundanese,machen.flac,-3.156770,web-71.holt.com,2000-06-26T12:18:51,Swasiland,-84.8476645,Asia/Pyongyang,1991-08-30 08:29:28,DE,Schottin,"90,22 €",Mühldorf am Inn,af,9
Lao,Oma.doc,-164.564044,desktop-62.pieper.net,1998-07-25T20:36:02,Dänemark,48.7543545,Europe/Bratislava,1994-07-01 17:13:48,DE,Möchlichen Walter GmbH & Co. KG,"794,69 €",Sangerhausen,mhr,7476
Cree,Frage.js,-178.887612,email-35.adolph.de,1984-08-19T02:35:36,Réunion,-36.247803,Pacific/Truk,1991-03-08 16:41:33,DE,Losekann Stiftung & Co. KGaA,"71,04 €",Schweinfurt,sr,468235
Maltese,sieht.wav,-169.614878,db-60.wagenknecht.org,1989-01-02T21:52:50,Belarus,-6.3895375,Atlantic/Cape_Verde,2018-01-02 20:19:14,DE,Tlustek OHG mbH,"5.561,85 €",Delitzsch,ta,98
Dzongkha,Geschichte.wav,-12.252983,laptop-79.tintzmann.de,2009-01-21T03:27:38,Liechtenstein,75.244137,Europe/Rome,1989-02-14 06:54:25,DE,Ladeck Gute KGaA,"649,63 €",Schongau,uz,99350
Romanian,dann.mp3,-122.322528,web-05.gumprich.net,1980-01-26T02:04:24,China,56.527400,Indian/Mauritius,2013-02-08 05:04:50,DE,Jacob Jäntsch Stiftung & Co. KG,"98.685,81 €",Neubrandenburg,gv,0
Gujarati,bringen.avi,121.900280,srv-74.wagenknecht.com,1972-07-27T04:52:36,Haiti,13.361614,Europe/Uzhgorod,1983-05-08 11:04:32,DE,Schleich,"82.027,03 €",Erding,pl,895
Malay,Monate.webm,5.899249,desktop-43.anders.de,1993-08-16T17:34:42,Alandinseln,-28.963603,America/Port_of_Spain,1992-05-14 23:13:03,DE,Beer GmbH,"938,13 €",Eggenfelden,rw,1147
Slovak,schön.png,6.420365,email-98.thanel.com,1973-07-30T14:20:41,Niue,49.077253,Africa/Gaborone,1993-06-04 03:43:41,DE,Kabus Kambs GmbH & Co. OHG,"5,30 €",Bad Freienwalde,hne,192
Welsh,einige.flac,-33.378336,email-21.hecker.de,2023-02-19T09:39:37,Zentralafrikanische Republik,71.622822,Asia/Brunei,1995-10-20 22:50:31,DE,Heydrich Tröst KG,"2.982,67 €",Biedenkopf,yi,26272795
Bislama,Uhr.pdf,-175.215499,srv-93.walter.com,1971-05-12T15:08:36,Uruguay,-82.4335975,Africa/Lome,1981-03-11 11:02:41,DE,Kobelt KGaA,"1.758,97 €",Viechtach,lv,790199839
Chamorro,selbst.css,135.670059,db-43.striebitz.org,2011-04-14T16:22:19,Pitcairn,9.4782655,Africa/Conakry,2016-05-08 09:27:47,DE,Scheel AG,"14,47 €",Gifhorn,fy,1815264
Tatar,werden.html,-179.891565,web-72.groettner.net,1988-09-19T16:53:09,Kanada,74.6348215,Africa/Nouakchott,1994-04-02 11:18:24,DE,Drubin,"8,78 €",Naila,bn,414013066
Norwegian Nynorsk,ganz.html,-39.358058,db-58.schenk.de,2022-01-24T03:59:51,Osttimor,24.0223395,America/Tegucigalpa,1982-05-12 21:06:05,DE,Hornig Ditschlerin Stiftung & Co. KGaA,"763,22 €",Gelnhausen,ayc,8
Walloon,plötzlich.jpeg,-112.413272,db-99.conradi.com,2020-07-20T11:46:13,Oman,50.098062,America/Antigua,1992-12-13 05:57:31,DE,Stahr,"921,86 €",Schwäbisch Hall,lb,56783545
Portuguese,sich.odt,-3.503766,lt-71.hertrampf.de,2014-01-28T22:26:56,Zentralafrikanische Republik,66.9594545,America/Caracas,2019-11-28 00:15:30,DE,Seifert,"20.621,85 €",Lüdinghausen,so,6
Norwegian Nynorsk,mehr.key,-57.321922,lt-15.pohl.de,1980-11-30T11:01:16,Heard- und McDonald-Inseln,86.3925965,America/Montevideo,1999-02-26 08:55:00,DE,Graf e.V.,"67.797,05 €",Nürtingen,hr,290682
Panjabi,Licht.csv,134.023932,desktop-98.naser.com,2011-12-19T05:48:04,Argentinien,21.1653415,America/Santo_Domingo,2007-01-23 07:46:54,DE,Tröst GmbH,"8.043,77 €",Grafenau,eo,477
Manx,halten.wav,-45.737194,db-65.juettner.de,1979-12-14T10:06:39,Dschibuti,-43.1808315,Asia/Colombo,2011-11-24 23:16:42,DE,Oderwald Stiftung & Co. KGaA,"79.532,26 €",Luckenwalde,se,15411576
Sanskrit,sehen.ppt,148.944712,email-61.radisch.com,1985-01-09T00:56:13,Serbien,-50.8769355,Europe/Brussels,2013-07-04 15:55:03,DE,Reuter,"1.387,89 €",Magdeburg,os,40349
Chuvash,kann.csv,107.953101,lt-42.ackermann.org,1974-08-24T23:45:09,Costa Rica,14.310949,Asia/Yerevan,2017-09-30 11:22:09,DE,Steckel Scholtz e.V.,"14.417,73 €",Soltau,mai,6438
Ndonga,Flasche.avi,110.794663,srv-06.kallert.de,1975-04-18T13:04:18,Falklandinseln,49.2426525,Pacific/Efate,1975-05-24 09:14:43,DE,Thies KG,"63,65 €",Regen,st,12
Welsh,Geschichte.mp4,-143.914177,email-41.moechlichen.net,1988-04-21T16:31:38,Nicaragua,-48.3688465,America/Managua,2009-07-21 02:29:44,DE,Käster,"2,43 €",Kaiserslautern,pap,1
Georgian,draußen.key,49.034180,db-00.trub.com,2021-09-09T22:59:56,Georgien,-46.463640,Africa/Lagos,1979-12-16 07:38:57,DE,Rose KG,"7.391,56 €",Tuttlingen,nl,49
Maltese,tun.mp4,6.809119,desktop-53.dietz.com,1998-02-07T12:09:32,Seychellen,27.425225,America/Barbados,1984-01-11 06:11:23,DE,Gehringer,"639,10 €",Königs Wusterhausen,se,36125
Javanese,rufen.numbers,-157.253148,db-54.tlustek.de,1993-11-26T11:20:31,Tokelau,-61.1313305,Asia/Singapore,1998-03-05 13:14:04,DE,Butte,"13,36 €",Hainichen,ur,3
Japanese,dem.mov,-94.543646,laptop-05.hethur.de,1971-01-19T04:37:00,Brunei Darussalam,-44.034180,Africa/Johannesburg,1990-02-21 16:31:37,DE,Sölzer AG,"715,32 €",Husum,eo,635
Kinyarwanda,schwarz.bmp,-121.158638,email-03.heydrich.net,2018-12-11T11:04:04,Amerikanisch-Samoa,56.612117,Asia/Ashgabat,1970-07-09 13:46:52,DE,Zirme KG,"9.339,36 €",Gardelegen,unm,392094
Kalaallisut,ob.txt,-124.894737,laptop-35.budig.de,1972-12-05T00:47:11,Niue,34.1228725,America/El_Salvador,1987-02-18 05:24:44,DE,Albers Kohl AG & Co. OHG,"9.371,23 €",Bayreuth,wa,58868497
Mongolian,treffen.html,167.322376,lt-43.butte.de,1989-03-04T16:07:59,Réunion,-35.7048465,Europe/Chisinau,1995-12-13 23:12:10,DE,Tröst Stiftung & Co. KGaA,"511,54 €",Warendorf,zu,61813136
Telugu,rot.key,61.328723,srv-22.schmiedt.de,1972-05-02T03:06:19,Guinea,-34.6667235,Europe/Vatican,1998-08-15 13:33:18,DE,Hahn GmbH & Co. KG,"60.410,79 €",Flöha,ps,3715
Lithuanian,neu.mp3,-5.514989,email-04.hein.net,2009-07-20T00:25:28,Französisch-Guayana,83.5867175,Europe/Minsk,2020-12-23 10:19:15,DE,Hofmann KGaA,"44.523,61 €",Gransee,ml,6
Spanish,nun.mp3,58.798440,email-70.mentzel.de,2010-04-02T13:04:52,Guadeloupe,-54.1960415,Africa/Djibouti,1993-02-01 01:22:54,DE,Mühle Geisel Stiftung & Co. KG,"1.678,24 €",Güstrow,ka,23199
Kanuri,essen.pages,20.662611,laptop-37.loeffler.de,1985-02-06T16:30:56,China,-35.687931,Asia/Dushanbe,2020-10-07 23:35:18,DE,Wirth Schacht GmbH & Co. OHG,"55,35 €",Artern,crh,84489396
Dutch,dick.mp4,-69.058191,laptop-30.austermuehle.net,2016-12-05T12:33:31,Britisches Territorium im Indischen Ozean,-16.8592055,Asia/Amman,1970-11-30 00:31:24,DE,auch Schlauchin Beyer KG,"9,05 €",Guben,ayc,4353129
Belarusian,dafür.numbers,-144.384409,desktop-81.scheibe.de,2003-09-23T14:28:50,Tuvalu,-9.8663465,Pacific/Efate,2010-10-25 01:25:53,DE,Bolander GmbH,"90,56 €",Hammelburg,zu,616
Oromo,Tag.wav,-94.499810,db-28.kobelt.net,2017-05-25T16:21:00,Mosambik,86.0777245,Asia/Dushanbe,1985-01-14 13:34:50,DE,Wiek KG,"40,77 €",Döbeln,shs,7264339
Italian,wahr.docx,59.968122,email-61.jaehn.com,1985-11-13T13:13:39,Haiti,-57.6496475,Europe/Riga,1994-04-03 00:22:52,DE,Sölzer KG,"187,41 €",Sebnitz,se,4673
Persian,verstehen.docx,57.295332,email-58.zirme.com,1972-12-23T01:54:55,Palästinensische Gebiete,78.287360,Pacific/Port_Moresby,2018-02-06 22:18:22,DE,Keudel AG & Co. KG,"60.151,56 €",Schwäbisch Gmünd,el,14791
Maori,am.webm,-54.273138,email-14.maelzer.de,2009-09-11T00:16:50,Namibia,-26.253786,Asia/Aqtobe,2008-05-31 04:52:15,DE,Schlosser Weihmann AG,"1.478,31 €",Calau,sv,96
Maori,Feuer.doc,-65.531943,desktop-14.heinz.de,2017-01-05T07:34:35,Kambodscha,68.8678545,Asia/Manila,2023-03-22 03:26:50,DE,Heintze AG & Co. KGaA,"36.089,67 €",Heinsberg,unm,6397
Basque,Brief.png,-51.797622,lt-33.koch.de,1994-06-02T18:49:54,Malediven,83.979301,Asia/Baghdad,1974-11-05 04:26:57,DE,Beyer,"5.387,77 €",Parchim,sq,260
Belarusian,mehr.jpg,39.348247,desktop-36.koehler.net,1987-12-05T17:00:56,Kirgisistan,-38.811401,Pacific/Nauru,1972-03-31 12:08:51,DE,Scholtz,"20.784,83 €",Ochsenfurt,mni,8808
Finnish,fressen.flac,-163.494395,lt-37.atzler.net,1976-06-07T13:37:45,Republik Moldau,-6.093126,Asia/Hovd,2012-06-13 18:14:21,DE,Kruschwitz Preiß e.G.,"73.196,88 €",Schweinfurt,si,15
Tswana,sagen.doc,132.678600,db-64.pieper.com,2015-10-13T03:56:09,Grenada,67.7177025,Asia/Pontianak,2008-08-22 15:45:44,DE,Carsten Spieß Stiftung & Co. KGaA,"13,07 €",Schongau,wae,627
Inuktitut,los.mov,122.387276,db-28.hoevel.de,2022-06-01T17:47:08,Kamerun,11.0410445,Europe/Tallinn,1977-08-05 11:29:14,DE,Drub GmbH & Co. OHG,"5,73 €",Gelnhausen,lij,384254
Yiddish,waschen.odt,69.014038,desktop-40.warmer.net,1993-03-01T21:06:08,Neuseeland,-78.4663945,Asia/Dhaka,2006-01-28 18:30:53,DE,Nohlmans,"7.809,18 €",München,cs,5
Ndonga,blau.tiff,110.642671,desktop-85.schmidt.de,1986-01-13T17:42:55,Salomonen,-36.8104615,Europe/Amsterdam,1984-03-29 05:20:55,DE,Schuchhardt AG,"5,02 €",Lippstadt,gv,59
Malagasy,genau.txt,68.149413,email-81.hofmann.net,1976-09-08T19:48:35,Westsahara,89.5244555,Asia/Qatar,1977-01-25 13:31:00,DE,Birnbaum,"9.381,47 €",Ludwigslust,mi,689
Malayalam,auch.tiff,112.937894,lt-29.faust.de,2021-05-27T01:39:09,Bhutan,-80.9678165,Asia/Dushanbe,2020-04-12 02:22:09,DE,Hamann,"99.208,15 €",Weißwasser,mg,983
Belarusian,Brief.mp3,-140.043529,desktop-13.weihmann.com,2023-03-16T04:19:53,Simbabwe,-30.5079225,Europe/Copenhagen,2015-03-08 10:09:06,DE,Reichmann Hesse AG,"589,86 €",Pößneck,sw,67861418
Ewe,so.mp3,-141.013127,laptop-77.klemt.de,2006-02-17T00:03:41,Turkmenistan,87.5006745,Pacific/Apia,1972-09-18 23:19:34,DE,Binner,"76,43 €",Feuchtwangen,csb,443818
North Ndebele,lassen.gif,-166.874146,web-86.kuehnert.de,1970-08-19T03:54:52,Bulgarien,40.826020,Asia/Phnom_Penh,2011-09-08 22:08:53,DE,Mohaupt,"1.268,90 €",Magdeburg,am,6441451
Bulgarian,lassen.jpeg,-25.399819,srv-67.salz.de,2016-07-19T16:58:24,Salomonen,-34.9213235,America/Nassau,2004-02-13 20:57:44,DE,Ackermann Spieß KG,"69.028,11 €",Reutlingen,niu,8977
Icelandic,Finger.wav,173.648134,lt-51.anders.de,2023-01-29T19:47:39,Suriname,17.601160,Asia/Colombo,2022-10-13 15:42:34,DE,Geisler Häring Stiftung & Co. KGaA,"946,29 €",Sulzbach-Rosenberg,tt,40
Sardinian,fiel.jpeg,7.108767,email-61.klemt.com,2003-03-16T05:01:40,Osttimor,-60.553563,America/St_Lucia,2002-07-15 14:05:43,DE,Winkler e.G.,"8.291,69 €",Nordhausen,ast,926325196
Kashmiri,beim.jpeg,72.724245,lt-09.dowerg.com,1980-09-06T00:49:19,Montenegro,72.7543125,Europe/Minsk,2019-10-13 09:38:33,DE,Lindner GmbH & Co. OHG,"3.949,25 €",Rothenburg ob der Tauber,th,3
Sango,für.docx,-137.243652,desktop-40.jungfer.org,1979-01-09T01:16:37,Turkmenistan,6.816131,Europe/Andorra,2020-03-03 23:01:09,DE,Herrmann,"86,03 €",Viersen,ca,402322
Navajo,los.mp4,51.547651,srv-37.zahn.de,1992-03-16T01:29:26,Tadschikistan,-81.971074,Europe/Budapest,1996-04-30 14:04:18,DE,Heidrich,"78,12 €",Wertingen,th,40804180
Russian,warten.avi,44.739427,laptop-30.schmidt.com,2002-01-18T01:06:29,Jemen,-68.7418075,Africa/Harare,1976-07-11 01:12:36,DE,Wieloch,"723,64 €",Pegnitz,tr,262029
Hungarian,natürlich.ods,165.375120,web-05.scheel.com,1988-06-25T00:49:45,Tokelau,-40.0420515,Asia/Qatar,2010-09-21 22:38:59,DE,Stolze OHG mbH,"83.877,23 €",Geithain,doi,506040
Croatian,Wagen.avi,55.887137,desktop-06.zobel.org,2003-01-21T00:26:52,Portugal,69.803667,America/Port_of_Spain,1983-04-02 22:32:53,DE,Hauffer e.G.,"5,52 €",Wolfenbüttel,kl,69
Sardinian,ihr.png,-136.683000,desktop-35.austermuehle.com,1999-05-07T16:15:58,Kanada,-0.7216835,America/Goose_Bay,1995-10-30 08:56:51,DE,Klotz Kuhl GmbH & Co. KGaA,"24,99 €",Olpe,ti,57902865
Lithuanian,fliegen.webm,58.832975,db-00.paertzelt.de,1977-11-30T18:07:11,Luxemburg,82.4371945,Europe/Rome,2022-09-27 02:59:16,DE,Striebitz Römer KG,"30.969,50 €",Siegen,eu,9624240
Ido,Arbeit.mov,121.448781,laptop-21.hethur.com,1980-03-05T09:53:40,Marshallinseln,-82.206107,Asia/Baku,2006-02-24 19:06:11,DE,Krebs Sölzer Stiftung & Co. KGaA,"26,25 €",Prenzlau,pl,516531222
Xhosa,ohne.avi,65.101609,srv-26.heser.com,2008-11-18T06:58:41,Jersey,-32.354593,Asia/Jerusalem,1992-02-07 12:05:19,DE,Jähn,"1,52 €",Böblingen,sr,6075
Ndonga,fressen.jpg,55.126788,desktop-99.salz.de,2000-08-08T16:41:10,Belgien,-7.219203,Asia/Damascus,2016-10-04 18:08:16,DE,Scheuermann GmbH,"15,77 €",Ebern,ml,49
Oromo,besser.html,36.777860,email-37.gorlitz.de,2018-01-22T11:18:24,Bangladesch,-22.153237,Europe/Vatican,2014-01-26 13:35:05,DE,Bender Klingelhöfer AG,"28,05 €",Kronach,fa,632
North Ndebele,Herz.avi,32.570656,desktop-24.vogt.org,2002-05-11T04:09:51,Tschechische Republik,-62.871553,Asia/Bangkok,2018-07-30 02:52:06,DE,Matthäi GmbH & Co. OHG,"19,37 €",Teterow,pap,64859217
Kikuyu,Arbeit.css,112.884718,srv-97.hertrampf.de,2002-08-12T08:32:44,St. Kitts und Nevis,-66.7184655,Asia/Omsk,2008-01-20 22:05:55,DE,Sauer GmbH & Co. KG,"770,70 €",Wertingen,ve,9360
Chichewa,verstehen.odt,127.664065,web-11.linke.net,2006-08-25T07:46:30,Katar,74.819132,America/Argentina/Rio_Gallegos,2016-07-12 13:06:41,DE,Koch Sorgatz GbR,"35,06 €",Gießen,mhr,424041469
Nepali,Essen.flac,115.206084,lt-84.geisel.net,2011-04-15T17:09:55,Osttimor,-88.6563445,Africa/Porto-Novo,2009-01-26 01:38:32,DE,Riehl,"9.018,24 €",Steinfurt,tt,533332417
Malay,als.wav,-162.761882,srv-75.fiebig.com,2011-06-17T05:29:33,Antigua und Barbuda,-4.3421635,America/Port_of_Spain,2011-12-01 19:20:14,DE,Hentschel Kramer GmbH,"6.313,74 €",Potsdam,mhr,54714994
Bashkir,kommen.xlsx,-63.171019,desktop-07.soeding.de,1973-07-01T05:06:57,Ruanda,42.555782,America/Kentucky/Monticello,2019-10-18 21:15:23,DE,Kramer Zirme AG & Co. OHG,"79,50 €",Dresden,ts,2891
Chinese,Beispiel.jpg,-1.745387,db-33.berger.de,1970-09-14T19:19:41,Kuwait,56.3868375,Africa/Gaborone,2004-03-22 00:49:26,DE,Kuhl,"533,77 €",Germersheim,ps,20
Javanese,aber.mp3,13.986181,web-72.mude.net,1996-02-29T15:51:49,Serbien und Montenegro,23.156785,America/Port_of_Spain,2017-10-12 06:46:13,DE,Koch II Ring GmbH,"7,93 €",Artern,zh,7
Pushto,laut.jpeg,-101.900012,db-86.juettner.de,1973-02-22T13:19:50,Jemen,-69.677240,Indian/Mahe,2002-09-05 19:28:34,DE,van der Dussen Hendriks AG & Co. KG,"75.468,33 €",Hechingen,ayc,3
North Ndebele,Seite.numbers,92.902961,lt-26.koch.com,1994-07-08T00:46:43,Aruba,1.162363,Asia/Saigon,1985-03-19 11:33:01,DE,Sölzer e.G.,"6,16 €",Werdau,ml,6
Latin,schwer.png,-170.504807,email-81.schmidt.org,1988-09-27T06:02:07,Antigua und Barbuda,-78.834711,Africa/Brazzaville,1983-08-10 03:55:44,DE,Franke,"61,56 €",Uelzen,tn,81137
Bambara,an.odp,108.784843,srv-75.ditschlerin.de,1976-12-06T20:22:08,Tschad,83.4631455,Europe/Madrid,1985-12-11 23:50:16,DE,Bien,"15.153,76 €",Melsungen,zu,573096
Tsonga,gut.ppt,178.576690,desktop-80.huhn.com,1980-02-10T13:19:13,St. Martin,-70.037647,Asia/Amman,1977-07-29 14:29:26,DE,Hamann Sorgatz AG,"33.469,20 €",Leipziger Land,st,3810378
Romanian,Wetter.png,74.294149,laptop-54.kusch.org,2017-02-04T10:40:38,Ruanda,-70.2417165,Asia/Bangkok,1985-09-06 07:54:30,DE,Kraushaar AG,"3.758,45 €",Sankt Goarshausen,csb,204851
Chamorro,rechnen.wav,21.877239,email-61.segebahn.com,1990-08-16T03:38:37,Slowakei,39.8175595,Indian/Comoro,1978-12-24 12:36:58,DE,Schüler KG,"9.609,99 €",Hersbruck,th,70
Albanian,wünschen.webm,-104.616019,srv-16.birnbaum.org,2022-12-18T01:23:04,Singapur,51.6507625,Africa/Asmera,2015-07-21 06:03:29,DE,Bohnbach Seifert KG,"5.074,28 €",Euskirchen,st,113491568
Wolof,klettern.wav,-121.102746,desktop-41.ehlert.net,2006-11-01T02:49:26,Libanon,-48.7445395,Pacific/Fiji,1973-06-26 21:42:59,DE,Kitzmann Sorgatz AG,"2,45 €",Artern,sq,0
Avestan,lassen.jpg,19.436202,laptop-24.mentzel.de,2004-05-14T23:41:37,Heard- und McDonald-Inseln,-18.468732,Pacific/Tongatapu,1995-07-22 14:51:11,DE,Pruschke KG,"71,41 €",Wertingen,nl,516320
Swahili,setzen.json,98.794375,desktop-06.wernecke.net,2009-04-28T13:00:44,Schweden,1.488309,Africa/Luanda,1995-03-08 20:58:49,DE,Nette Reinhardt AG,"23,57 €",Mallersdorf,se,869
Komi,sieht.js,-27.437549,db-06.scholz.com,2020-10-22T13:18:01,Grönland,-45.218078,Europe/Zurich,1987-05-13 09:26:03,DE,Rogner Vogt GbR,"80.729,34 €",Wismar,ff,617812
Greek,was.webm,-48.813017,lt-94.pieper.net,2023-02-24T18:04:45,Marshallinseln,41.7612965,Africa/Accra,2013-11-09 01:21:49,DE,Möchlichen AG,"1,62 €",Suhl,fy,40
Kongo,sieht.json,71.010058,lt-17.koester.de,1981-03-04T19:00:45,Bahrain,-76.2089995,Africa/Freetown,1970-07-10 15:15:02,DE,Rädel Rädel GmbH & Co. KG,"744,06 €",Stendal,yue,937719016
South Ndebele,Auto.html,-131.876769,lt-98.hecker.de,1970-10-26T06:06:12,Demokratische Volksrepublik Korea,78.9249215,Africa/Johannesburg,1984-02-16 17:13:23,DE,Kostolzin,"8.183,32 €",Olpe,tg,266969
Cornish,genau.csv,98.413893,web-14.riehl.com,1988-05-29T14:40:05,St. Martin,76.1636565,America/Belize,1995-09-05 01:56:57,DE,Weihmann,"5,76 €",Bergzabern,kn,7086
Yiddish,ließ.mp3,-64.206354,lt-25.vogt.net,1981-07-19T15:20:50,Jersey,-21.477453,Africa/Nairobi,2000-11-28 08:03:43,DE,Wesack Eigenwillig GbR,"48.204,23 €",Hansestadttralsund,byn,72915
Nauru,die.flac,137.845476,laptop-65.putz.de,1980-07-08T10:51:19,Türkei,-11.2248665,Europe/Chisinau,1996-10-15 10:37:43,DE,Jacobi Jäckel,"5.656,53 €",Mallersdorf,tt,178373
Slovak,sofort.jpeg,-179.287195,web-02.karge.com,2018-09-02T10:01:34,Italien,-11.658589,Asia/Kabul,1981-07-09 17:13:06,DE,Rohleder GmbH & Co. OHG,"3.943,93 €",Sankt Goarshausen,ga,37137
Kongo,Brief.xls,-32.955569,db-34.freudenberger.com,2002-05-21T12:30:45,Simbabwe,-12.3234665,Asia/Seoul,1971-02-18 11:35:48,DE,Gotthard,"55.228,15 €",Roth,the,7946714
Komi,dunkel.key,-54.862041,laptop-39.groettner.com,1983-07-14T14:26:21,Osttimor,-59.6428835,America/Lima,1976-11-23 09:02:52,DE,Bachmann,"376,25 €",Bischofswerda,nr,42159384
Norwegian,in.mp3,-141.909137,db-91.metz.net,1973-06-24T18:09:00,Sierra Leone,-48.681818,Europe/Dublin,2020-10-21 11:16:26,DE,Scholtz GmbH,"77,46 €",Finsterwalde,sa,2
"Sotho, Southern",alt.html,-53.566003,web-41.bolander.de,1986-05-16T11:35:57,Kenia,1.171685,Pacific/Funafuti,1983-05-23 14:14:52,DE,Drubin Niemeier GbR,"6,81 €",Ebermannstadt,af,8131736
Oromo,ruhig.gif,-6.457385,email-38.haase.de,2014-08-02T16:22:17,Alandinseln,-65.3146915,Europe/Rome,1988-03-12 20:48:10,DE,Zahn Stiftung & Co. KGaA,"28,56 €",Kötzting,nhn,62736
