timezone,hostname,iso8601,random_number,time,latitude,bank_country,city,company,file_name,language_code,pricetag,country,language_name,date,mac_address,longitude,date_time
Asia/Kamchatka,email-38.staub-albrecht.info,2010-11-19T03:04:17,262452,18:43:13,-20.0810875,CH,Binningen,Eichenberger-Felber,recusandae.pdf,ar,$75.40,Libya,Fijian,2022-06-26,e3:5e:c0:24:70:d2,71.055610,2012-11-20 14:43:45
America/Kentucky/Monticello,db-89.sigrist.com,2005-12-31T00:34:34,86761,09:03:58,-55.6276575,CH,Köniz,"Bauer, Schäfer and Schäfer",aperiam.json,cmn,$36.32,Costa Rica,Arabic,1980-02-23,78:a9:ae:4a:3a:1a,174.082009,1992-04-18 01:27:35
America/Nassau,db-72.baumann.com,2023-08-19T20:29:11,6439562,07:13:24,-41.2974765,CH,Villars-sur-Glâne,"Wyss, Graf and Eugster",eligendi.css,pap,"$20,920.62",Bosnia and Herzegovina,Yoruba,2013-05-07,e9:a9:b0:55:0b:6c,127.964119,2007-02-08 18:38:24
Australia/Broken_Hill,desktop-70.muller.com,2004-12-14T00:34:41,19,03:07:37,89.1670365,CH,Versoix,"Maurer, Schnyder and Imhof",assumenda.webm,hy,$748.70,Mozambique,Irish,2009-08-16,92:3e:65:5b:a5:3e,154.423890,2017-02-08 17:26:15
Pacific/Efate,web-50.frey.com,1984-12-15T03:56:37,8,20:43:24,31.541068,CH,Worb,"Meier, Huber and Wagner",hic.txt,yo,$83.58,Italy,Guarani,1986-12-23,fb:dd:ef:ec:c9:8f,120.790120,2021-07-19 22:46:05
Indian/Comoro,lt-32.mayer-fluckiger.com,1989-10-15T17:43:35,61,11:55:45,68.4863465,CH,Münchenstein,Christen-Walder,inventore.html,ia,$953.01,Switzerland,Sundanese,1986-07-19,52:68:85:5d:9e:a6,-53.913769,2007-06-27 01:02:37
Europe/Tallinn,laptop-23.ziegler.com,2021-08-01T05:27:47,95558,07:12:52,-62.9109705,CH,Oftringen,Baur-Herzog,perferendis.js,sw,$1.83,Benin,Faroese,1972-04-22,6c:13:61:65:77:54,34.551438,2011-09-20 04:29:13
Africa/Freetown,lt-03.bieri.com,1986-02-14T03:10:22,1,05:19:37,76.6676835,CH,Münchenstein,Jenni-Erni,earum.wav,se,"$64,219.24",Philippines,Tibetan,1989-05-24,45:de:45:52:a0:71,116.812217,2015-06-02 16:09:58
Europe/Riga,laptop-81.felber-bauer.com,2001-04-08T05:17:43,37459264,08:53:49,50.7441685,CH,Zürich,Walder-Seiler,nobis.png,ug,$71.39,Canada,Sanskrit,1999-04-18,70:04:ad:17:e5:89,-119.143886,1981-10-22 08:10:49
Asia/Bangkok,db-46.fankhauser.com,1981-05-04T23:15:00,726007,10:09:03,-53.7392035,CH,Suhr,Mettler Ltd,consequuntur.png,unm,"$92,849.83",Chad,Kinyarwanda,2010-12-24,bc:99:26:ee:ff:d3,-34.809282,1977-04-23 08:00:44
Atlantic/Azores,desktop-57.betschart.biz,2017-06-21T18:51:36,4330095,03:51:36,58.1932125,CH,Basel,Hofmann-Blaser,nostrum.txt,eo,"$10,617.16",United Kingdom,Navajo,1985-08-07,ad:bc:19:9a:29:80,147.648576,1988-10-01 02:34:05
Indian/Comoro,lt-43.leu-haas.biz,2001-04-21T14:00:49,278520,06:27:12,-31.541315,CH,Bulle,Sigrist Group,eligendi.bmp,ak,"$2,157.68",Mauritania,Assamese,1986-04-29,c0:cd:4c:f2:8f:bc,126.821275,1986-05-19 01:00:26
Asia/Manila,db-72.wettstein.com,1975-03-11T05:16:38,4054364,02:19:25,36.8049915,CH,Ittigen,Stocker and Sons,quia.mov,os,$13.12,Guatemala,Tatar,1981-01-18,75:55:de:59:f8:18,-106.975417,1976-04-16 20:44:12
Africa/Niamey,srv-82.weibel-leu.com,1993-04-28T13:53:17,9,03:28:50,7.3569595,CH,Baar,Schmidt-Haas,nulla.ods,bhb,"$2,974.24",Saint Lucia,Kinyarwanda,1975-12-11,b2:9e:6d:0b:09:9a,83.474292,1990-11-14 13:50:40
Africa/Libreville,srv-35.wyss-hofstetter.biz,1984-11-09T14:49:09,42707152,05:15:54,73.718708,CH,Zollikon,"Friedli, Grob and Eugster",mollitia.mp4,th,"$7,643.41",Antigua and Barbuda,Tonga,1977-10-10,53:96:9b:54:b5:9b,123.985608,2004-09-29 20:08:36
America/Barbados,srv-56.steiger-felber.com,2002-06-20T07:44:16,52576,22:06:42,-17.816260,CH,Bern,Kessler PLC,maxime.mov,it,"$86,106.03",Canada,Samoan,2008-05-06,c4:cd:26:94:b7:f7,83.325911,1979-01-02 17:40:28
America/Jamaica,desktop-92.tobler.com,1986-07-18T16:37:31,1332,13:24:55,89.701259,CH,Dietikon,Gasser Group,rerum.js,kk,$0.46,Laos,English,1984-12-08,71:b5:aa:67:6c:4a,-172.110081,1992-08-17 03:09:19
Africa/Monrovia,laptop-27.gloor.info,1979-09-06T19:57:25,300340401,02:12:47,-44.8079855,CH,Dübendorf,Schweizer-Roth,rem.jpg,unm,$840.71,Mozambique,German,2018-10-11,9d:09:f2:b8:7c:00,57.730911,1993-07-27 01:16:06
Europe/Bucharest,srv-50.scharer-meili.com,1999-12-05T21:53:37,80385052,22:03:43,-75.233901,CH,Ostermundigen,"Weibel, Frick and Braun",velit.webm,es,$39.57,Yemen,Chuvash,1982-01-27,63:fd:15:3d:16:57,154.893513,1981-02-09 19:52:05
Europe/Lisbon,desktop-15.winkler.com,1977-01-23T23:10:13,13298,17:25:59,-36.2832955,CH,Pully,Stöckli-Zürcher,laborum.mp4,en,$8.37,Mauritius,Dutch,2010-01-15,e9:a2:dd:71:68:d7,24.600470,1976-02-18 05:54:04
Africa/Mbabane,desktop-71.fischer.com,1979-09-13T05:45:43,9087,21:35:05,-17.902095,CH,Binningen,Gloor-Näf,assumenda.mp3,ar,$537.99,Bolivia,Hiri Motu,2005-12-29,c4:bc:b6:04:15:01,8.578999,1986-02-23 12:46:23
Asia/Thimphu,email-20.arnold.com,2007-02-08T08:06:16,569,00:49:37,15.4754165,CH,Münchenstein,"Sigrist, Marti and Meier",quasi.wav,csb,$46.11,Tuvalu,Icelandic,2013-02-16,bd:f4:85:ea:da:f0,174.726649,2003-09-27 18:26:33
Europe/Copenhagen,web-26.sporri-mader.net,1981-07-14T18:30:25,931910,10:36:57,-35.751607,CH,Luzern,Gross-Hess,ratione.bmp,hsb,"$49,539.80",Mozambique,Ndonga,1983-06-07,ea:e1:7b:17:1c:06,92.179648,2012-12-01 07:44:44
Europe/Brussels,email-75.lustenberger.net,2006-04-11T07:47:26,827,00:03:07,-27.968693,CH,Uzwil,"Schäfer, Wehrli and Wenger",dicta.jpg,zh,$768.37,East Timor,Aymara,1977-02-16,a9:89:d9:31:74:9a,63.356861,2013-02-18 16:30:40
Pacific/Enderbury,desktop-78.hofmann.biz,2000-11-26T09:45:26,951485092,03:21:32,-31.4451435,CH,Lausanne,Haas LLC,aperiam.odp,lo,$812.26,Haiti,Bengali,2017-07-10,0e:33:fd:5c:da:95,-166.469705,1984-10-25 17:55:19
Pacific/Auckland,lt-13.schlatter-lang.com,1978-07-22T03:48:51,232392272,08:33:56,-17.8370155,CH,Stäfa,Hotz LLC,vero.docx,st,"$6,690.95",Dominican Republic,Faroese,2012-03-27,97:69:2e:45:a3:25,39.986706,1991-01-30 19:20:57
America/Havana,srv-91.hoffmann.info,1995-11-11T15:05:44,617,23:24:09,39.9246635,CH,Münsingen,Wehrli-Wyss,in.mp3,hi,$24.04,Costa Rica,Pushto,1980-06-25,bd:f7:7f:5b:58:0b,-38.435598,1978-05-28 23:27:21
Africa/Kigali,web-90.sigrist.biz,1972-07-18T02:20:04,38961440,16:08:30,4.888205,CH,Plan-les-Ouates,Portmann-Schweizer,reiciendis.css,ln,"$9,887.77",Bolivia,Pali,1983-10-31,6f:49:db:2f:57:52,-14.582018,1993-11-21 14:29:24
Africa/Ouagadougou,web-47.ruegg.org,1976-06-02T03:09:24,1277483,10:12:24,-6.249408,CH,Vernier,"Fankhauser, Giger and Schmidt",quam.mp4,da,$9.22,Norway,Spanish,1983-10-13,cf:e5:f6:5e:e8:43,-43.231179,1976-02-18 14:52:02
Africa/Mogadishu,lt-50.gfeller.net,1991-05-18T00:20:43,7,00:24:16,-86.1936815,CH,Solothurn,Seiler-Bauer,esse.html,dv,$9.25,Iraq,Uzbek,2012-02-19,a8:ed:15:86:4d:ce,61.421582,1993-01-29 08:11:31
Africa/Mogadishu,desktop-56.frey.com,2014-03-14T12:22:22,8830,02:14:50,80.8660275,CH,Val-de-Travers,Ernst Inc,nobis.gif,be,"$19,910.93",Jamaica,Croatian,2012-10-13,77:44:eb:b7:ff:fa,160.350443,2014-09-16 10:22:47
Asia/Phnom_Penh,srv-51.ruegg.com,2009-01-02T18:08:20,6713,12:10:00,13.294107,CH,Aesch,"Bieri, Seiler and Kaiser",eius.xlsx,ko,"$1,426.13",Denmark,Bihari languages,1985-06-17,6b:93:54:98:80:b8,-92.755160,1984-09-15 15:10:50
Indian/Comoro,email-89.schurch.com,1983-09-24T23:34:02,669209,11:37:21,35.014933,CH,Neuhausen,Giger Ltd,voluptatem.tiff,ff,"$4,512.28",Comoros,Kikuyu,2001-09-14,e7:0c:61:93:b3:00,-153.879971,2001-06-20 19:22:16
Europe/Zaporozhye,desktop-53.schwab.com,1975-10-21T00:56:16,2353561,16:58:53,20.468805,CH,Sursee,Häfliger-Martin,cupiditate.avi,wa,$928.40,Taiwan,Bulgarian,1983-09-06,de:cf:9b:3b:c0:ed,36.999457,1995-10-03 09:25:23
Asia/Tashkent,web-04.favre.info,2005-02-28T04:55:44,9904069,15:11:36,-82.665825,CH,Flawil,Graf-Fuchs,beatae.jpeg,en,"$3,507.06",Cuba,Marathi,1991-08-28,3b:12:2e:67:51:3b,-94.281109,1990-01-14 16:33:02
Asia/Rangoon,srv-30.ferrari.com,2011-10-19T20:37:55,2671215,04:04:56,-56.0807235,CH,Wil,"Lang, Frei and Steiger",magnam.jpg,mr,$308.91,Zimbabwe,Kongo,1979-09-13,1f:f7:a2:8e:9f:d1,43.020072,1970-11-26 22:36:47
Asia/Bahrain,email-04.zingg-sidler.com,1979-11-19T15:11:08,571547328,23:46:50,75.150627,CH,Grenchen,"Wettstein, Lanz and Eichenberger",iste.css,dv,$686.43,Equatorial Guinea,Interlingue,2014-09-02,e7:5b:c3:db:71:4b,-15.588218,2017-04-24 11:20:48
Africa/Tunis,lt-13.frei-benz.biz,1980-09-26T16:22:41,6396,06:09:46,42.5897785,CH,Val-de-Travers,Hasler-Leu,ipsum.txt,fr,$129.91,Mozambique,Esperanto,2009-08-14,7f:02:f4:92:d8:3c,137.157639,2016-04-03 03:01:36
America/St_Kitts,db-78.brunner.com,1979-07-24T12:01:33,238944493,12:56:32,33.4767365,CH,Neuenburg,"Lanz, Hartmann and Roth",laudantium.jpg,tt,$8.54,Nigeria,Galician,1990-01-11,7d:f3:97:0c:d2:08,-158.183597,1997-11-18 22:55:14
Europe/Vatican,web-82.baumgartner.info,1995-04-21T16:37:12,270,20:48:03,-60.6135505,CH,Opfikon,Hofstetter-Tanner,amet.odp,ht,"$33,820.73",Cyprus,Chamorro,2004-09-15,2c:74:2c:79:18:57,-30.436153,1977-03-05 10:12:11
Africa/Bangui,web-08.buhler.info,1994-02-11T13:57:57,7,21:29:19,-1.5525425,CH,Volketswil,Wolf LLC,ipsa.json,mn,"$56,704.49",Zambia,Croatian,1984-03-21,fd:4e:c3:3a:45:14,96.958839,1984-01-14 18:45:05
Africa/Djibouti,desktop-74.koch-luthi.com,2008-09-09T15:53:00,68413,21:08:24,77.5799895,CH,Gland,"Frey, Steiger and Spörri",debitis.bmp,sr,"$52,752.87",Venezuela,Inuktitut,2012-05-07,69:26:c9:cd:1e:a5,155.206119,1980-09-02 02:59:46
Africa/Windhoek,desktop-22.giger.com,1980-11-16T17:10:35,9444,20:43:08,-62.026710,CH,Val-de-Travers,Beck-Frey,modi.webm,unm,"$38,969.28",Poland,Inuktitut,1972-04-01,14:ab:7d:c9:5c:a3,-116.026198,1981-08-20 13:30:22
Pacific/Kosrae,db-61.huber.com,2019-12-27T12:43:08,31799394,00:24:24,-39.3267785,CH,Vernier,"Stadelmann, Käser and Wirz",vitae.webm,unm,$1.37,Nicaragua,Thai,2004-10-24,50:75:3b:b3:12:a6,26.292217,2013-05-11 06:33:54
Asia/Ulaanbaatar,email-72.walter.net,2003-07-03T10:47:32,678006,14:28:14,-62.150204,CH,Payerne,"Baumgartner, Schürch and Brunner",minus.flac,ff,"$82,824.15",Swaziland,Bosnian,2001-09-20,10:ce:93:75:1a:26,112.020006,1971-09-26 17:34:40
Asia/Choibalsan,email-06.sporri.com,1996-09-21T03:29:42,83050,02:39:25,-4.2317125,CH,Luzern,Kuhn-Frei,fugiat.pages,mk,$24.50,Romania,Oromo,1995-06-26,a0:bf:96:77:f5:92,70.748651,2016-06-22 22:00:42
America/Costa_Rica,desktop-53.muller-schaller.com,2000-10-03T06:12:20,792709315,12:31:51,-33.542983,CH,Regensdorf,"Spörri, Knecht and Beck",eaque.flac,bem,$3.76,Algeria,Icelandic,2003-09-21,6a:b5:58:c3:5e:e1,-168.587782,1988-02-12 20:23:03
America/Nassau,web-90.kern-buhlmann.net,2000-04-17T13:44:39,35,02:29:44,22.5245165,CH,Biel/Bienne,Erni-Steinmann,ea.xlsx,gez,$54.10,Russia,Albanian,1970-06-19,d6:1f:a4:26:b7:bb,33.927186,2006-05-03 05:02:01
America/Dominica,laptop-55.lang.com,1972-12-03T09:12:09,359,06:02:03,75.258585,CH,Uster,Scherrer-Meier,nesciunt.webm,sid,$15.50,CÃ´te d'Ivoire,Kannada,2012-04-26,fb:83:76:1d:a6:41,82.249874,1971-06-23 10:47:26
Australia/Adelaide,srv-41.kalin.com,2019-06-20T06:45:24,58452,12:25:03,9.8448075,CH,Volketswil,Hoffmann and Sons,minima.gif,nl,"$9,013.88",Ethiopia,Lao,2017-04-15,ff:3b:f5:38:31:c1,-66.664679,1977-03-08 00:16:14
Africa/Lome,lt-93.schaller.com,1992-03-27T17:51:36,176177,23:12:14,-87.1325035,CH,Neuenburg,Haas Inc,at.bmp,kw,"$81,429.99",Palau,Swati,1979-03-23,f6:33:cb:d6:d1:12,116.493926,2012-01-09 22:15:40
Asia/Baku,lt-48.benz.com,2018-08-28T22:47:24,59860411,07:58:56,-86.7288335,CH,Basel,Kuhn Ltd,nostrum.xlsx,tig,"$30,459.03",Marshall Islands,Kinyarwanda,1978-01-09,28:94:45:f6:c1:80,68.292793,1970-07-18 10:51:15
Africa/Luanda,srv-25.furrer-knecht.com,2021-02-20T23:21:22,3275398,20:49:06,-79.347760,CH,Stäfa,"Lüthi, Egger and Schär",ullam.mp4,iu,$694.61,Ukraine,Swahili,2016-01-27,0c:05:64:39:31:a4,-65.364178,2004-09-07 14:47:38
Indian/Comoro,srv-94.luscher.com,2022-02-18T06:12:24,67,22:39:29,16.798970,CH,Olten,"Brunner, Michel and Meister",adipisci.ppt,gd,$235.79,Tunisia,Hiri Motu,2017-09-08,0f:a8:28:f2:31:e0,-81.363137,2012-04-06 23:19:28
America/Managua,laptop-76.ackermann.com,2007-04-09T03:43:52,9050,18:48:23,25.2564385,CH,Thun,Lüscher Group,eligendi.webm,bho,$7.67,Tunisia,Albanian,1984-06-30,6f:62:88:07:08:3c,59.783513,1982-11-11 03:28:27
Europe/Chisinau,db-05.moser.net,1996-08-12T02:20:29,348631531,18:38:28,33.8196575,CH,Uster,Merz-Knecht,alias.doc,nan,"$4,558.00",Mongolia,Azerbaijani,2023-09-07,bd:ec:82:71:d5:11,6.169750,1971-05-19 10:38:56
Africa/Freetown,db-56.leu.com,1983-09-23T20:13:56,457,10:44:48,-37.5951375,CH,Pfäffikon,"Widmer, Winkler and Zbinden",unde.xls,tig,$63.57,Papua New Guinea,Kurdish,2010-10-16,30:a9:97:6b:8d:a7,116.310817,2008-05-18 19:35:20
Indian/Antananarivo,laptop-45.ott.com,1976-06-22T19:12:42,340,16:49:41,-34.4769755,CH,Pully,Leunberger Group,repellendus.mov,gez,$3.69,Namibia,Abkhazian,1977-10-24,4a:c5:ad:a7:11:24,61.979648,1972-06-30 03:19:51
Africa/Kinshasa,email-42.berger-seiler.biz,1993-06-07T01:51:43,8515786,16:46:02,66.3438165,CH,Zollikon,"Scheidegger, Furrer and Ott",magni.pptx,bhb,$728.75,Serbia,North Ndebele,2017-09-28,0c:46:cb:0d:12:60,142.154467,1995-05-24 15:48:28
Asia/Baghdad,laptop-23.ammann.com,1998-02-01T23:37:40,76,13:59:13,-36.681134,CH,Zollikon,Marti-Hofer,accusantium.tiff,is,"$6,703.98",Republic of Ireland,Manx,2004-01-14,f5:04:77:53:bd:bb,129.114707,1993-08-01 10:40:33
Asia/Manila,desktop-45.hotz.com,1972-03-20T15:53:50,8,01:14:25,39.559188,CH,Zürich,Ferrari Ltd,impedit.jpg,bo,"$9,665.89",Dominica,Arabic,1982-07-01,bb:06:35:55:e3:92,144.835318,2006-07-01 07:35:17
Pacific/Port_Moresby,web-86.probst.com,2023-07-10T14:58:17,313242131,02:28:06,-9.515906,CH,Riehen,"Michel, Müller and Zürcher",officia.odp,iu,$519.31,Iran,Latin,1999-08-12,67:cb:6b:07:84:7e,124.000350,2011-01-04 05:49:47
Europe/Chisinau,srv-89.hurlimann.org,2011-07-16T07:06:24,912187671,13:15:40,18.1538225,CH,Rheinfelden,Walder Group,nemo.txt,kw,"$87,885.81",Ethiopia,Akan,1994-09-09,23:33:72:f9:a7:9d,-3.815119,1999-05-23 17:12:00
America/Asuncion,email-58.michel-berger.net,1985-11-17T00:37:34,902384,01:53:08,-28.9676795,CH,Adliswil,Zimmermann-Wirz,assumenda.html,el,$3.03,Tonga,Turkmen,2022-03-28,c5:3c:2a:1c:1a:4d,-43.742441,1996-04-26 16:52:24
Asia/Kabul,lt-51.lehmann-vogt.com,1972-01-21T19:36:58,3,12:18:47,-43.9179215,CH,Nyon,"Hofmann, Blaser and Iten",assumenda.mp3,it,$699.48,Cuba,Norwegian,1976-03-31,e0:f2:24:b4:00:a0,-104.830369,2001-06-21 18:46:42
Indian/Mahe,db-82.schumacher.biz,2017-07-03T14:27:33,2221,00:52:51,-50.899916,CH,Wetzikon,"Wehrli, Pfister and Kaufmann",suscipit.xls,fo,$93.25,Brunei Darussalam,Chamorro,1981-02-06,d9:82:d1:9a:bd:a7,-124.916576,1985-10-23 11:02:17
Asia/Makassar,desktop-06.hug.com,1973-01-28T22:12:23,1898875,19:07:02,-86.3765645,CH,Frauenfeld,"Geiger, Pfister and Zbinden",adipisci.key,om,"$94,203.46",Eritrea,Latvian,1986-12-26,2e:16:03:7f:a4:15,138.609108,2000-09-09 12:05:41
Africa/Luanda,email-88.berger-schenk.com,2022-07-14T18:12:58,101,12:50:38,84.4353205,CH,Buchs,Hafner-Aebi,excepturi.odt,bho,$574.07,Cameroon,Japanese,2012-04-15,ac:d2:9f:6f:e8:55,24.893937,1994-04-02 05:24:31
Asia/Urumqi,lt-98.schafer.net,2000-08-24T22:32:57,8979766,01:31:11,-29.7074205,CH,Onex,Imhof PLC,adipisci.mp4,iu,$1.18,Sri Lanka,Mongolian,2021-03-11,70:08:df:cc:17:a8,-147.070612,2010-06-01 13:50:22
Europe/Istanbul,email-19.lustenberger.net,1996-11-15T05:45:23,15021644,06:41:52,77.962323,CH,Altstätten,"Schaller, Pfister and Studer",iure.gif,gl,$338.83,Malaysia,Tamil,1981-05-31,3e:54:72:fb:35:4e,131.337095,1989-06-01 00:23:06
Asia/Bahrain,laptop-72.stutz-weibel.org,1982-04-01T16:43:12,38531,06:43:11,71.789707,CH,Wil,Jäggi-Hunziker,facilis.webm,zh,"$63,865.18",Iran,Lao,2021-08-23,c4:2a:c3:41:ab:9e,-9.256417,2023-08-26 02:05:47
Europe/Rome,srv-30.felber-gasser.com,1987-08-13T08:23:21,828601026,00:27:10,64.4972385,CH,Brig-Glis,Felber and Sons,enim.mp3,it,"$33,479.61",Republic of Ireland,Guarani,2008-06-11,e7:13:76:ae:12:94,-92.703715,2002-06-21 02:29:41
Asia/Riyadh,laptop-75.bernasconi.com,2020-03-02T21:26:00,37437893,05:34:08,-63.236407,CH,Vernier,Kaiser-Stocker,unde.webm,hak,$5.27,Cameroon,Yiddish,1995-02-19,7b:e7:84:04:70:51,168.674916,2004-10-08 07:41:05
Africa/Lusaka,srv-38.thommen-isler.com,1994-09-12T16:52:17,92,05:43:31,-47.2651675,CH,Mendrisio,Wagner-Zürcher,maxime.mp4,de,"$1,654.95",Nigeria,Western Frisian,1972-12-10,61:d9:ec:08:ad:d7,-65.819244,2015-10-23 11:53:54
America/Port_of_Spain,lt-19.bernasconi.org,2017-04-10T08:13:18,14635405,15:38:28,-28.2341855,CH,Rapperswil-Jona,"Wettstein, Isler and Hasler",eaque.ppt,he,$4.43,Argentina,Guarani,1995-12-31,84:1b:a7:ba:d5:7f,-75.839588,1986-02-23 19:35:00
Africa/Gaborone,web-44.ferrari.info,1973-03-10T18:34:18,426197818,10:07:00,-39.8460085,CH,Val-de-Ruz,"Iten, Blaser and Baumann",maiores.flac,ta,$565.70,Nauru,Manx,2012-06-03,7f:a7:3f:d8:f6:da,-142.155018,1975-06-02 11:58:51
Asia/Jerusalem,email-51.tanner-roth.com,2016-01-17T07:06:36,62,01:17:13,41.385173,CH,Wallisellen,Meyer-Bühler,placeat.key,cy,$18.17,Oman,Panjabi,2009-06-01,de:dc:69:9e:6d:2b,-81.776723,1999-08-16 22:15:31
America/Cancun,desktop-92.forster-vogt.org,2019-04-07T04:33:42,49,15:49:54,-6.4880595,CH,Köniz,Schwab-Hotz,ipsam.jpg,kn,"$7,849.02",France,Interlingue,2010-09-23,75:83:2f:bc:28:26,-84.269621,2011-07-20 09:40:40
Asia/Katmandu,laptop-81.fluckiger.com,2012-10-13T14:03:55,1405424,19:19:16,-71.176522,CH,Brig-Glis,Steffen-Hodel,quisquam.mov,mai,"$37,696.93",Sierra Leone,Norwegian Nynorsk,1977-10-13,21:3a:9c:f2:4a:00,99.327354,2001-07-11 20:23:25
Europe/Brussels,laptop-68.schar.biz,2017-01-17T18:57:43,94,23:03:26,88.276086,CH,Baden,Grob-Stauffer,dolorem.numbers,aa,$51.18,Libya,Hiri Motu,1989-09-20,83:75:46:36:9d:a7,121.742069,1991-08-23 20:39:35
Atlantic/Cape_Verde,laptop-66.ammann-schenk.com,2010-05-14T10:28:10,668138,10:38:32,64.420549,CH,Volketswil,Michel Group,atque.csv,doi,$4.70,Guinea-Bissau,Finnish,2005-02-09,5d:c8:23:6d:59:ed,60.980067,2006-04-28 15:54:10
America/Asuncion,db-61.hirt.com,1996-12-13T05:35:12,570,15:56:35,-6.6650955,CH,Lyss,Lanz-Wegmann,saepe.mov,tcy,$83.84,Iran,Spanish,1990-11-15,c3:da:66:cf:0c:88,-14.907952,1975-06-20 09:49:38
America/Indiana/Vincennes,srv-91.jost-schafer.com,1994-04-02T11:53:32,6613808,07:55:45,56.2009605,CH,Worb,"Schwab, Haas and Schoch",eos.ppt,sr,"$40,651.82",Brazil,Malay,2009-04-17,e9:2f:ed:49:ab:2f,30.375302,2014-03-13 06:34:31
America/Port_of_Spain,srv-11.wirz-schwab.org,1987-12-23T20:03:38,5728032,19:11:07,-18.6900775,CH,Schlieren,Kaufmann-Fehr,iusto.css,apn,$39.03,Kenya,Bambara,1994-12-08,0d:4c:cf:45:3c:6c,152.354529,2020-01-29 11:42:28
Asia/Colombo,srv-63.schaller-meier.com,1970-09-01T00:43:01,9953680,19:24:24,-67.040514,CH,Buchs,Sutter-Schnyder,molestiae.ppt,mn,$552.78,Turkey,Lao,1982-11-06,9d:c5:87:74:ab:b9,-58.264439,1996-04-01 20:07:10
Atlantic/Cape_Verde,laptop-74.egli.com,2003-01-08T14:13:41,4289124,07:03:29,-62.2884775,CH,Glarus,Küng-Roth,ut.mp4,gl,"$6,924.47",Burkina Faso,Tigrinya,2016-02-11,79:98:0f:47:39:cc,-158.458780,1983-07-28 18:46:08
Asia/Tashkent,lt-61.hofstetter.org,1990-06-13T11:05:23,1,20:50:54,-41.425593,CH,Renens,Schaller-Stettler,ex.gif,tcy,"$69,792.98",Gabon,Burmese,1988-04-14,04:cd:d8:47:aa:d2,40.735022,2023-04-27 04:06:21
Pacific/Port_Moresby,desktop-72.bader.com,2020-12-28T02:09:01,3,10:25:13,-29.229406,CH,Burgdorf,"Schwarz, Favre and Gasser",veniam.json,the,$6.66,Iceland,Interlingua,2011-04-08,10:f8:2a:9e:6e:d3,107.532507,2000-04-04 02:58:49
Pacific/Kiritimati,db-80.gross.biz,2000-08-05T05:21:26,6153612,08:34:45,-9.2628355,CH,Glarus,Hofstetter-Lüscher,voluptatum.js,tig,$2.00,Central African Republic,Hungarian,2020-03-04,d9:05:72:af:d5:af,-148.435777,2000-03-09 04:08:18
Asia/Baku,email-01.bernasconi-ruegg.com,1977-02-23T13:34:22,623730986,08:30:35,26.2528355,CH,Lenzburg,Bachmann-Ferrari,ipsum.avi,fil,$758.50,Andorra,Gaelic,1990-12-13,25:c5:f4:73:3f:12,22.568054,2018-03-27 09:18:35
Europe/Oslo,desktop-12.gut.com,2014-02-08T16:11:12,8321629,09:57:04,33.5050425,CH,Arth,"Kohler, Frick and Küng",inventore.jpg,de,$98.55,Sierra Leone,Kanuri,1981-07-06,4b:df:3f:50:17:03,-163.381464,2005-06-10 23:20:03
Asia/Aden,srv-76.schmidt.com,1976-03-18T11:45:08,5,19:49:13,-79.592830,CH,Wädenswil,Bader-Isler,explicabo.key,cv,$804.90,East Timor,Romansh,2002-05-03,24:6f:b6:f4:12:0d,-142.171705,1996-09-01 10:17:45
Europe/Monaco,laptop-97.hartmann-mettler.com,2005-06-18T10:36:54,512246,23:38:10,-49.9200165,CH,Rapperswil-Jona,Forster-Stutz,exercitationem.wav,ast,$5.06,Chad,Slovenian,2008-06-09,96:be:3d:7d:ef:a1,173.361746,1997-06-02 17:01:39
Africa/Kigali,laptop-06.felber-schwarz.net,2016-02-18T21:37:32,687784454,11:19:19,56.7732035,CH,La Chaux-de-Fonds,Betschart-Stöckli,sapiente.mov,cv,$3.06,France,Hausa,1981-11-23,a2:98:18:d3:9c:90,-122.536670,1986-08-30 07:15:33
America/Belize,srv-88.zehnder-geiger.com,2018-08-22T20:50:59,549,09:52:51,-12.8161365,CH,Ecublens,Lehmann-Stauffer,voluptatum.html,hak,"$5,037.03",Tunisia,Estonian,2022-04-27,e4:15:db:f0:57:12,145.682628,2008-11-16 16:47:22
Asia/Novosibirsk,desktop-60.frey-mettler.com,1972-02-29T14:30:25,39306652,08:20:42,-71.601841,CH,Ittigen,Winkler-Iten,alias.key,gv,"$23,582.12",Belgium,Korean,2003-02-09,8a:a3:7a:5d:b8:ef,-114.918327,1999-03-30 01:02:54
Europe/Podgorica,email-16.berger.info,1992-06-22T05:50:24,33,06:36:23,65.8193265,CH,Monthey,"Seiler, Bianchi and Wehrli",voluptate.docx,it,$960.49,Singapore,Hindi,1980-05-03,df:9d:41:9e:8e:77,-150.216265,1991-05-06 03:40:27
America/Port_of_Spain,srv-78.lehmann.com,2023-07-01T12:03:14,68901135,04:37:20,2.7749865,CH,Kriens,"Bachmann, Iten and Zimmermann",assumenda.png,niu,$8.67,South Korea,Slovak,1973-03-08,d3:fd:d4:2d:26:bb,-174.123287,2011-03-04 09:40:48
America/Costa_Rica,db-61.hug.com,2017-05-14T16:08:42,9,12:53:49,16.4037505,CH,Brugg,Wirz-Schumacher,quasi.html,sc,$5.91,Slovenia,Tajik,2011-06-10,22:c0:b0:d8:20:15,40.120991,1974-08-15 04:52:36
